"time","energy_damage","trialnum"
1888,NA,1
1889,NA,1
1890,NA,1
1891,NA,1
1892,NA,1
1893,NA,1
1894,NA,1
1895,NA,1
1896,NA,1
1897,NA,1
1898,NA,1
1899,NA,1
1900,NA,1
1901,NA,1
1902,NA,1
1903,NA,1
1904,NA,1
1905,NA,1
1906,NA,1
1907,NA,1
1908,NA,1
1909,NA,1
1910,NA,1
1911,NA,1
1912,NA,1
1913,NA,1
1914,NA,1
1915,NA,1
1916,NA,1
1917,NA,1
1918,NA,1
1919,NA,1
1920,NA,1
1921,NA,1
1922,NA,1
1923,NA,1
1924,NA,1
1925,NA,1
1926,NA,1
1927,NA,1
1928,NA,1
1929,NA,1
1930,NA,1
1931,NA,1
1932,NA,1
1933,NA,1
1934,NA,1
1935,NA,1
1936,NA,1
1937,NA,1
1938,NA,1
1939,NA,1
1940,NA,1
1941,NA,1
1942,NA,1
1943,NA,1
1944,NA,1
1945,NA,1
1946,NA,1
1947,NA,1
1948,NA,1
1949,NA,1
1950,NA,1
1951,NA,1
1952,NA,1
1953,NA,1
1954,NA,1
1955,NA,1
1956,NA,1
1957,NA,1
1958,NA,1
1959,NA,1
1960,NA,1
1961,NA,1
1962,NA,1
1963,NA,1
1964,NA,1
1965,NA,1
1966,NA,1
1967,NA,1
1968,NA,1
1969,NA,1
1970,NA,1
1971,NA,1
1972,NA,1
1973,NA,1
1974,NA,1
1975,NA,1
1976,NA,1
1977,NA,1
1978,NA,1
1979,NA,1
1980,NA,1
1981,NA,1
1982,NA,1
1983,NA,1
1984,NA,1
1985,NA,1
1986,NA,1
1987,NA,1
1988,NA,1
1989,NA,1
1990,NA,1
1991,NA,1
1992,NA,1
1993,NA,1
1994,NA,1
1995,NA,1
1996,NA,1
1997,NA,1
1998,NA,1
1999,NA,1
2000,NA,1
2001,NA,1
2002,NA,1
2003,NA,1
2004,NA,1
2005,NA,1
2006,NA,1
2007,NA,1
2008,NA,1
2009,NA,1
2010,NA,1
2011,NA,1
2012,NA,1
2013,NA,1
2014,NA,1
2015,NA,1
2016,NA,1
2017,NA,1
2018,NA,1
2019,NA,1
2020,6.74414886581102e10,1
2021,6.988106707471259e10,1
2022,7.243930912502829e10,1
2023,7.50986928465202e10,1
2024,7.782154480837622e10,1
2025,8.05543042497317e10,1
2026,8.305239235255548e10,1
2027,8.561323434217578e10,1
2028,8.830384391884346e10,1
2029,9.116016620234172e10,1
2030,9.425335950401013e10,1
2031,9.80329611762503e10,1
2032,1.02118502982211e11,1
2033,1.065664698900764e11,1
2034,1.114411928690139e11,1
2035,1.1667351562942647e11,1
2036,1.2290789371419064e11,1
2037,1.2959690161416194e11,1
2038,1.3675163365826321e11,1
2039,1.444020177269681e11,1
2040,1.525489078847846e11,1
2041,1.5552377286961057e11,1
2042,1.587117102337359e11,1
2043,1.621889882107657e11,1
2044,1.6600363338874078e11,1
2045,1.702486201686888e11,1
2046,1.735238582159842e11,1
2047,1.7701958957440967e11,1
2048,1.8064431130790082e11,1
2049,1.8425297878226547e11,1
2050,1.87785927739559e11,1
2051,1.8938943462791898e11,1
2052,1.9117039973882394e11,1
2053,1.931725642167396e11,1
2054,1.9547481260950977e11,1
2055,1.9817216454468906e11,1
2056,2.0006459030974582e11,1
2057,2.0219043796907208e11,1
2058,2.0447076315806677e11,1
2059,2.0692316253645404e11,1
2060,2.0946435057077167e11,1
2061,2.0775611812322064e11,1
2062,2.0626594298352954e11,1
2063,2.0505292189500812e11,1
2064,2.0415105603893054e11,1
2065,2.0357916315167764e11,1
2066,2.1030483855696863e11,1
2067,2.1774304016663745e11,1
2068,2.2585495540223773e11,1
2069,2.345714570554581e11,1
2070,2.438619919089509e11,1
2071,2.402440395254138e11,1
2072,2.3683732622896875e11,1
2073,2.33714292201605e11,1
2074,2.3087176975231274e11,1
2075,2.2832763177161154e11,1
2076,2.2860190894479462e11,1
2077,2.291787958001554e11,1
2078,2.3011372772651733e11,1
2079,2.3141344661512164e11,1
2080,2.330305104692496e11,1
2081,2.3710892483925552e11,1
2082,2.414370001076809e11,1
2083,2.4598845825124048e11,1
2084,2.5079040434416278e11,1
2085,2.558521626093129e11,1
2086,2.5957107401027496e11,1
2087,2.6361967550111636e11,1
2088,2.6804694134828464e11,1
2089,2.7291170022032468e11,1
2090,2.7828895840662646e11,1
2091,2.8089094049059045e11,1
2092,2.83821419696931e11,1
2093,2.869543941388907e11,1
2094,2.9016125918997314e11,1
2095,2.9350793476785297e11,1
2096,2.94616729314738e11,1
2097,2.962088576012911e11,1
2098,2.983565943552243e11,1
2099,3.011320857537342e11,1
2100,3.046336103283711e11,1
2101,3.00644283631582e11,1
2102,2.9767456229768665e11,1
2103,2.953719271925313e11,1
2104,2.93665636453076e11,1
2105,2.9244196400998846e11,1
2106,2.845490025757597e11,1
2107,2.770242327385489e11,1
2108,2.699314139691872e11,1
2109,2.633290655441184e11,1
2110,2.572765635661098e11,1
2111,2.5618111401146378e11,1
2112,2.5553847046573877e11,1
2113,2.550850958950498e11,1
2114,2.5469032796905963e11,1
2115,2.543721335457638e11,1
2116,2.5718137739250937e11,1
2117,2.6029351620597726e11,1
2118,2.6382767023583005e11,1
2119,2.678659207208255e11,1
2120,2.725643836387822e11,1
2121,2.7482532709580756e11,1
2122,2.7784573030400494e11,1
2123,2.8126693617334174e11,1
2124,2.8500247008619855e11,1
2125,2.890640142957891e11,1
2126,2.882073988507382e11,1
2127,2.874056572105091e11,1
2128,2.867644048349423e11,1
2129,2.86364595033709e11,1
2130,2.863420620598708e11,1
2131,2.8016301426194116e11,1
2132,2.747504167641597e11,1
2133,2.6981055131172202e11,1
2134,2.6521701470699863e11,1
2135,2.6085253952699615e11,1
2136,2.5644842985217407e11,1
2137,2.521502085181034e11,1
2138,2.480731621696013e11,1
2139,2.4422015074229462e11,1
2140,2.4062269482379047e11,1
2141,2.3749633651739893e11,1
2142,2.348454041953583e11,1
2143,2.3249598916961514e11,1
2144,2.303470302812071e11,1
2145,2.28362655032094e11,1
2146,2.319715740679458e11,1
2147,2.3568941041088733e11,1
2148,2.3956783371173544e11,1
2149,2.4361221861998325e11,1
2150,2.4788640111693475e11,1
2151,2.526626685770016e11,1
2152,2.578037278242459e11,1
2153,2.634490432467026e11,1
2154,2.6957917698092996e11,1
2155,2.759740416040005e11,1
2156,2.8484447362253766e11,1
2157,2.945395093701688e11,1
2158,3.050923870544849e11,1
2159,3.1663778516819305e11,1
2160,3.293957697231813e11,1
2161,3.2534605469282715e11,1
2162,3.2200899788212054e11,1
2163,3.1947409389862085e11,1
2164,3.1769072835207416e11,1
2165,3.1626674796293066e11,1
2166,3.298601069892867e11,1
2167,3.442114513249453e11,1
2168,3.593198448107039e11,1
2169,3.754777878413484e11,1
2170,3.9294196345498517e11,1
2171,3.9376341257394824e11,1
2172,3.951048114387116e11,1
2173,3.9713084788856537e11,1
2174,3.9976580741256e11,1
2175,4.028211823863516e11,1
2176,4.158737753035298e11,1
2177,4.2948035736761804e11,1
2178,4.435712429242252e11,1
2179,4.582963307134317e11,1
2180,4.7380821837089124e11,1
2181,4.851218212550192e11,1
2182,4.972530957794964e11,1
2183,5.1029198856932764e11,1
2184,5.243737398685413e11,1
2185,5.3966998556397595e11,1
2186,5.501625508417849e11,1
2187,5.616864912238109e11,1
2188,5.740258751414377e11,1
2189,5.872527629252505e11,1
2190,6.0109921184725e11,1
2191,6.248453974462493e11,1
2192,6.499568932886621e11,1
2193,6.767643529267969e11,1
2194,7.055078757884598e11,1
2195,7.364499931181155e11,1
2196,7.503345600608151e11,1
2197,7.662943146656326e11,1
2198,7.841039788374327e11,1
2199,8.03310589865019e11,1
2200,8.237221624627775e11,1
2201,8.31808057209828e11,1
2202,8.412200154970765e11,1
2203,8.523819637165789e11,1
2204,8.653727900467985e11,1
2205,8.804179624935984e11,1
2206,8.866611385014194e11,1
2207,8.939158528252286e11,1
2208,9.024710845666998e11,1
2209,9.123907945058156e11,1
2210,9.2348993019727e11,1
2211,9.43203558231222e11,1
2212,9.640307654120039e11,1
2213,9.858797425717069e11,1
2214,1.0088687369324507e12,1
2215,1.033051533559539e12,1
2216,1.0237941922047137e12,1
2217,1.0155003181482383e12,1
2218,1.0083558639682502e12,1
2219,1.0025549380617073e12,1
2220,9.983051663052288e11,1
2221,1.0086776241164441e12,1
2222,1.0211392745683109e12,1
2223,1.035058317565266e12,1
2224,1.0497919116324133e12,1
2225,1.0656022901957947e12,1
2226,1.051941530788434e12,1
2227,1.0392515050644418e12,1
2228,1.0277146681490765e12,1
2229,1.0175165929680841e12,1
2230,1.009011815460608e12,1
2231,1.0011567388083287e12,1
2232,9.950894675708717e11,1
2233,9.906185892762573e11,1
2234,9.874374772037098e11,1
2235,9.853176711921123e11,1
2236,9.977636615485854e11,1
2237,1.0114509912004554e12,1
2238,1.026753228769881e12,1
2239,1.043867887582454e12,1
2240,1.0630827515698292e12,1
2241,1.0847823790538928e12,1
2242,1.108619508424117e12,1
2243,1.1337599806263975e12,1
2244,1.159493593413508e12,1
2245,1.185300824740563e12,1
2246,1.1657950894089434e12,1
2247,1.1480786835617043e12,1
2248,1.1321520229077012e12,1
2249,1.1178914835244302e12,1
2250,1.1052825317417695e12,1
2251,1.1241676828052317e12,1
2252,1.1450708312492131e12,1
2253,1.168403829633333e12,1
2254,1.194389236541776e12,1
2255,1.222707744301769e12,1
2256,1.2750259118919292e12,1
2257,1.3306575267669102e12,1
2258,1.3895782215023745e12,1
2259,1.452176722085881e12,1
2260,1.518845743736301e12,1
2261,1.535918823648363e12,1
2262,1.5550949883609575e12,1
2263,1.5766502734735217e12,1
2264,1.600980115310678e12,1
2265,1.6285017306874949e12,1
2266,1.638656225701926e12,1
2267,1.6514618396278987e12,1
2268,1.6657592641541733e12,1
2269,1.6810433365323762e12,1
2270,1.697785236501308e12,1
2271,1.737219524922293e12,1
2272,1.780923832202493e12,1
2273,1.82945957104801e12,1
2274,1.8837136456245562e12,1
2275,1.9442761153361526e12,1
2276,2.009624624475834e12,1
2277,2.0785243177557473e12,1
2278,2.1506085836825378e12,1
2279,2.2258506360201875e12,1
2280,2.3040582309015283e12,1
2281,2.3577179830852866e12,1
2282,2.4158965792837104e12,1
2283,2.4792571329172676e12,1
2284,2.5487023287119946e12,1
2285,2.625592181896043e12,1
2286,2.7110719327194497e12,1
2287,2.8030046838310703e12,1
2288,2.9005267266180576e12,1
2289,3.002482002495301e12,1
2290,3.109805275618551e12,1
2291,3.109747409771901e12,1
2292,3.1167968778559824e12,1
2293,3.131768389749222e12,1
2294,3.155876512466687e12,1
2295,3.1906606584751094e12,1
2296,3.181114672792708e12,1
2297,3.1763873342535474e12,1
2298,3.175040494702799e12,1
2299,3.175307111986331e12,1
2300,3.177093118007357e12,1
1750,NA,2
1751,NA,2
1752,NA,2
1753,NA,2
1754,NA,2
1755,NA,2
1756,NA,2
1757,NA,2
1758,NA,2
1759,NA,2
1760,NA,2
1761,NA,2
1762,NA,2
1763,NA,2
1764,NA,2
1765,NA,2
1766,NA,2
1767,NA,2
1768,NA,2
1769,NA,2
1770,NA,2
1771,NA,2
1772,NA,2
1773,NA,2
1774,NA,2
1775,NA,2
1776,NA,2
1777,NA,2
1778,NA,2
1779,NA,2
1780,NA,2
1781,NA,2
1782,NA,2
1783,NA,2
1784,NA,2
1785,NA,2
1786,NA,2
1787,NA,2
1788,NA,2
1789,NA,2
1790,NA,2
1791,NA,2
1792,NA,2
1793,NA,2
1794,NA,2
1795,NA,2
1796,NA,2
1797,NA,2
1798,NA,2
1799,NA,2
1800,NA,2
1801,NA,2
1802,NA,2
1803,NA,2
1804,NA,2
1805,NA,2
1806,NA,2
1807,NA,2
1808,NA,2
1809,NA,2
1810,NA,2
1811,NA,2
1812,NA,2
1813,NA,2
1814,NA,2
1815,NA,2
1816,NA,2
1817,NA,2
1818,NA,2
1819,NA,2
1820,NA,2
1821,NA,2
1822,NA,2
1823,NA,2
1824,NA,2
1825,NA,2
1826,NA,2
1827,NA,2
1828,NA,2
1829,NA,2
1830,NA,2
1831,NA,2
1832,NA,2
1833,NA,2
1834,NA,2
1835,NA,2
1836,NA,2
1837,NA,2
1838,NA,2
1839,NA,2
1840,NA,2
1841,NA,2
1842,NA,2
1843,NA,2
1844,NA,2
1845,NA,2
1846,NA,2
1847,NA,2
1848,NA,2
1849,NA,2
1850,NA,2
1851,NA,2
1852,NA,2
1853,NA,2
1854,NA,2
1855,NA,2
1856,NA,2
1857,NA,2
1858,NA,2
1859,NA,2
1860,NA,2
1861,NA,2
1862,NA,2
1863,NA,2
1864,NA,2
1865,NA,2
1866,NA,2
1867,NA,2
1868,NA,2
1869,NA,2
1870,NA,2
1871,NA,2
1872,NA,2
1873,NA,2
1874,NA,2
1875,NA,2
1876,NA,2
1877,NA,2
1878,NA,2
1879,NA,2
1880,NA,2
1881,NA,2
1882,NA,2
1883,NA,2
1884,NA,2
1885,NA,2
1886,NA,2
1887,NA,2
1888,NA,2
1889,NA,2
1890,NA,2
1891,NA,2
1892,NA,2
1893,NA,2
1894,NA,2
1895,NA,2
1896,NA,2
1897,NA,2
1898,NA,2
1899,NA,2
1900,NA,2
1901,NA,2
1902,NA,2
1903,NA,2
1904,NA,2
1905,NA,2
1906,NA,2
1907,NA,2
1908,NA,2
1909,NA,2
1910,NA,2
1911,NA,2
1912,NA,2
1913,NA,2
1914,NA,2
1915,NA,2
1916,NA,2
1917,NA,2
1918,NA,2
1919,NA,2
1920,NA,2
1921,NA,2
1922,NA,2
1923,NA,2
1924,NA,2
1925,NA,2
1926,NA,2
1927,NA,2
1928,NA,2
1929,NA,2
1930,NA,2
1931,NA,2
1932,NA,2
1933,NA,2
1934,NA,2
1935,NA,2
1936,NA,2
1937,NA,2
1938,NA,2
1939,NA,2
1940,NA,2
1941,NA,2
1942,NA,2
1943,NA,2
1944,NA,2
1945,NA,2
1946,NA,2
1947,NA,2
1948,NA,2
1949,NA,2
1950,NA,2
1951,NA,2
1952,NA,2
1953,NA,2
1954,NA,2
1955,NA,2
1956,NA,2
1957,NA,2
1958,NA,2
1959,NA,2
1960,NA,2
1961,NA,2
1962,NA,2
1963,NA,2
1964,NA,2
1965,NA,2
1966,NA,2
1967,NA,2
1968,NA,2
1969,NA,2
1970,NA,2
1971,NA,2
1972,NA,2
1973,NA,2
1974,NA,2
1975,NA,2
1976,NA,2
1977,NA,2
1978,NA,2
1979,NA,2
1980,NA,2
1981,NA,2
1982,NA,2
1983,NA,2
1984,NA,2
1985,NA,2
1986,NA,2
1987,NA,2
1988,NA,2
1989,NA,2
1990,NA,2
1991,NA,2
1992,NA,2
1993,NA,2
1994,NA,2
1995,NA,2
1996,NA,2
1997,NA,2
1998,NA,2
1999,NA,2
2000,NA,2
2001,NA,2
2002,NA,2
2003,NA,2
2004,NA,2
2005,NA,2
2006,NA,2
2007,NA,2
2008,NA,2
2009,NA,2
2010,NA,2
2011,NA,2
2012,NA,2
2013,NA,2
2014,NA,2
2015,NA,2
2016,NA,2
2017,NA,2
2018,NA,2
2019,NA,2
2020,6.974029472224864e10,2
2021,7.434562287612144e10,2
2022,7.935180681263205e10,2
2023,8.477271300280934e10,2
2024,9.059544457792595e10,2
2025,9.67822216158085e10,2
2026,1.0112840642997275e11,2
2027,1.057387228789785e11,2
2028,1.1074174523235681e11,2
2029,1.1624401931013722e11,2
2030,1.2241054657232153e11,2
2031,1.211681969136598e11,2
2032,1.201964294660827e11,2
2033,1.1953447711060942e11,2
2034,1.192223317010016e11,2
2035,1.1914602806882443e11,2
2036,1.2458317247333353e11,2
2037,1.3040903665173434e11,2
2038,1.366226231986128e11,2
2039,1.4324856147434122e11,2
2040,1.502780445182714e11,2
2041,1.5508525347467096e11,2
2042,1.602550767983798e11,2
2043,1.6588225005718988e11,2
2044,1.7203719725075192e11,2
2045,1.7884370652849863e11,2
2046,1.8368230345896768e11,2
2047,1.8899352103780795e11,2
2048,1.9469897916078433e11,2
2049,2.0064613428429596e11,2
2050,2.0676878888327432e11,2
2051,2.2009178509620505e11,2
2052,2.344589056348165e11,2
2053,2.5002226815116714e11,2
2054,2.6701116806712695e11,2
2055,2.8572245979926984e11,2
2056,2.9910205337163983e11,2
2057,3.1362188799478534e11,2
2058,3.292327529048695e11,2
2059,3.460392197887379e11,2
2060,3.639732913509797e11,2
2061,3.809836447095293e11,2
2062,3.9918290773382697e11,2
2063,4.1880171764445953e11,2
2064,4.400632654060802e11,2
2065,4.6318791438563745e11,2
2066,4.763587704898333e11,2
2067,4.919256163049565e11,2
2068,5.0972681710961755e11,2
2069,5.2952651107606537e11,2
2070,5.511773962148754e11,2
2071,5.672010813429708e11,2
2072,5.842326813090267e11,2
2073,6.025300072620571e11,2
2074,6.22181328276269e11,2
2075,6.433298623487738e11,2
2076,6.594687080793632e11,2
2077,6.766765527889531e11,2
2078,6.952178930872002e11,2
2079,7.152218212618527e11,2
2080,7.366325015028644e11,2
2081,7.599597841732562e11,2
2082,7.84556839358232e11,2
2083,8.103934389831511e11,2
2084,8.376233735451991e11,2
2085,8.663693898316171e11,2
2086,8.63239145628336e11,2
2087,8.613312098687052e11,2
2088,8.608281064046764e11,2
2089,8.619379100566125e11,2
2090,8.649224528969302e11,2
2091,8.997443351262499e11,2
2092,9.385825832034349e11,2
2093,9.813271557900731e11,2
2094,1.0277703595858743e12,2
2095,1.0783957182122249e12,2
2096,1.091843352256231e12,2
2097,1.1070993079397427e12,2
2098,1.1245654423484692e12,2
2099,1.1446674903909097e12,2
2100,1.1679733839046033e12,2
2101,1.219941552910739e12,2
2102,1.2738607764802812e12,2
2103,1.332043626373388e12,2
2104,1.3943978549858835e12,2
2105,1.4606099171202478e12,2
2106,1.4989894737180386e12,2
2107,1.5395581031680208e12,2
2108,1.5827668547526501e12,2
2109,1.6291850594714705e12,2
2110,1.6795244983002578e12,2
2111,1.6734664389552192e12,2
2112,1.6697373236400566e12,2
2113,1.6668530257521917e12,2
2114,1.664081102478757e12,2
2115,1.661541314841e12,2
2116,1.6430613833286626e12,2
2117,1.6260405021556096e12,2
2118,1.611044100051914e12,2
2119,1.598404054574165e12,2
2120,1.5888365266116484e12,2
2121,1.6387203944948125e12,2
2122,1.6941199225939592e12,2
2123,1.753252810670297e12,2
2124,1.815574001179898e12,2
2125,1.881153491526987e12,2
2126,1.9191908522427913e12,2
2127,1.9589878393856387e12,2
2128,2.0013413461612295e12,2
2129,2.0469908241125457e12,2
2130,2.097159921083359e12,2
2131,2.1185890571738923e12,2
2132,2.1462171931882544e12,2
2133,2.17822840871311e12,2
2134,2.213798315966051e12,2
2135,2.251994814154953e12,2
2136,2.2468098042359497e12,2
2137,2.2436369549044717e12,2
2138,2.2436815222897373e12,2
2139,2.247287815989468e12,2
2140,2.255082083977805e12,2
2141,2.3522176472510103e12,2
2142,2.458432101558271e12,2
2143,2.5732185815501255e12,2
2144,2.69644709486412e12,2
2145,2.8285934195584565e12,2
2146,2.8913031090078755e12,2
2147,2.9582931936731377e12,2
2148,3.0304254826023267e12,2
2149,3.108060141728745e12,2
2150,3.192345797311152e12,2
2151,3.193819296964087e12,2
2152,3.2007067036423013e12,2
2153,3.214475386468555e12,2
2154,3.2347471966664727e12,2
2155,3.258798416476845e12,2
2156,3.257598962300347e12,2
2157,3.2651081006092803e12,2
2158,3.280571713748569e12,2
2159,3.3043015823683174e12,2
2160,3.3374404231905327e12,2
2161,3.4211959398027607e12,2
2162,3.515521115397023e12,2
2163,3.622593028904996e12,2
2164,3.743302043347839e12,2
2165,3.874463650646621e12,2
2166,4.0587905918691064e12,2
2167,4.254554895012722e12,2
2168,4.461468754743793e12,2
2169,4.682745354718955e12,2
2170,4.921325024671366e12,2
2171,4.946377216976159e12,2
2172,4.977893942071427e12,2
2173,5.018270671452062e12,2
2174,5.067139537302705e12,2
2175,5.122556452598031e12,2
2176,4.829705656462771e12,2
2177,4.568739717938774e12,2
2178,4.3349078510116406e12,2
2179,4.1262256770170654e12,2
2180,3.94096714192168e12,2
2181,3.9687430264513545e12,2
2182,4.0044882644456206e12,2
2183,4.048853299165442e12,2
2184,4.1028292457295967e12,2
2185,4.167694143544844e12,2
2186,4.2160943506876865e12,2
2187,4.2752810055478105e12,2
2188,4.3437285970288174e12,2
2189,4.422021415711025e12,2
2190,4.508366726108429e12,2
2191,4.62961579609111e12,2
2192,4.757935227817227e12,2
2193,4.895355274770561e12,2
2194,5.043310991042932e12,2
2195,5.203346762805075e12,2
2196,5.13758676318472e12,2
2197,5.083010762053515e12,2
2198,5.0370979393136045e12,2
2199,4.99598131478529e12,2
2200,4.957458385665092e12,2
2201,5.04625987723373e12,2
2202,5.140960060419351e12,2
2203,5.243870574293333e12,2
2204,5.355319818279257e12,2
2205,5.476334199365177e12,2
2206,5.73684755301305e12,2
2207,6.021245880745958e12,2
2208,6.33386901823276e12,2
2209,6.678200793163196e12,2
2210,7.056316240744671e12,2
2211,7.049439680231446e12,2
2212,7.049306317822764e12,2
2213,7.054750077481794e12,2
2214,7.066025764056802e12,2
2215,7.083042619882591e12,2
2216,6.843680966028508e12,2
2217,6.618787385692837e12,2
2218,6.408892830060923e12,2
2219,6.214485331456537e12,2
2220,6.0360908782854795e12,2
2221,6.033534645151736e12,2
2222,6.046103285920328e12,2
2223,6.069952556901702e12,2
2224,6.1009612392699795e12,2
2225,6.140058722516477e12,2
2226,5.987616832333153e12,2
2227,5.843133787745006e12,2
2228,5.707578361691225e12,2
2229,5.581875604463815e12,2
2230,5.467863185148649e12,2
2231,5.622614397820816e12,2
2232,5.795126393603898e12,2
2233,5.985610062141873e12,2
2234,6.193546162012241e12,2
2235,6.418567790487938e12,2
2236,6.743613442152162e12,2
2237,7.087587868410566e12,2
2238,7.454177287018738e12,2
2239,7.846355972379146e12,2
2240,8.268098810223204e12,2
2241,8.253178097698758e12,2
2242,8.25059800613474e12,2
2243,8.255573263385497e12,2
2244,8.264284400503968e12,2
2245,8.274550496246487e12,2
2246,8.000766342021865e12,2
2247,7.752500657428442e12,2
2248,7.52923211826152e12,2
2249,7.329611681232929e12,2
2250,7.152986804708332e12,2
2251,7.235843452619648e12,2
2252,7.329185560410522e12,2
2253,7.435182969078073e12,2
2254,7.554879880539936e12,2
2255,7.686030839184437e12,2
2256,7.835089388376762e12,2
2257,7.991454438110032e12,2
2258,8.153515968017915e12,2
2259,8.321784388598206e12,2
2260,8.496686198075894e12,2
2261,8.515251130856145e12,2
2262,8.540987245884393e12,2
2263,8.575315404521872e12,2
2264,8.620154208194666e12,2
2265,8.677497539152233e12,2
2266,8.944797919792238e12,2
2267,9.243604193461115e12,2
2268,9.569449655307303e12,2
2269,9.920392641503072e12,2
2270,1.0299915662470488e13,2
2271,1.0190480970308688e13,2
2272,1.0108640318739887e13,2
2273,1.0056834202072748e13,2
2274,1.0039055697331125e13,2
2275,1.0057682944258049e13,2
2276,1.0611467091677947e13,2
2277,1.1220980378241535e13,2
2278,1.1888494676848795e13,2
2279,1.2618266593769242e13,2
2280,1.341407873279672e13,2
2281,1.350848765261166e13,2
2282,1.36131240025886e13,2
2283,1.3730238664576752e13,2
2284,1.3863049867514613e13,2
2285,1.4016833822510164e13,2
2286,1.362234236764332e13,2
2287,1.3267394895187525e13,2
2288,1.2944207185013836e13,2
2289,1.2644919337736213e13,2
2290,1.2370425129320258e13,2
2291,1.2565009109692162e13,2
2292,1.2778741443383512e13,2
2293,1.301501420549804e13,2
2294,1.327895891676365e13,2
2295,1.3577273067387201e13,2
2296,1.3811026063032521e13,2
2297,1.4085585626934736e13,2
2298,1.439717587277774e13,2
2299,1.473966263167871e13,2
2300,1.5113256430283855e13,2
