"time","ch4_emissions","trialnum"
1888,NA,1
1889,NA,1
1890,NA,1
1891,NA,1
1892,NA,1
1893,NA,1
1894,NA,1
1895,NA,1
1896,NA,1
1897,NA,1
1898,NA,1
1899,NA,1
1900,NA,1
1901,NA,1
1902,NA,1
1903,NA,1
1904,NA,1
1905,NA,1
1906,NA,1
1907,NA,1
1908,NA,1
1909,NA,1
1910,NA,1
1911,NA,1
1912,NA,1
1913,NA,1
1914,NA,1
1915,NA,1
1916,NA,1
1917,NA,1
1918,NA,1
1919,NA,1
1920,NA,1
1921,NA,1
1922,NA,1
1923,NA,1
1924,NA,1
1925,NA,1
1926,NA,1
1927,NA,1
1928,NA,1
1929,NA,1
1930,NA,1
1931,NA,1
1932,NA,1
1933,NA,1
1934,NA,1
1935,NA,1
1936,NA,1
1937,NA,1
1938,NA,1
1939,NA,1
1940,NA,1
1941,NA,1
1942,NA,1
1943,NA,1
1944,NA,1
1945,NA,1
1946,NA,1
1947,NA,1
1948,NA,1
1949,NA,1
1950,NA,1
1951,NA,1
1952,NA,1
1953,NA,1
1954,NA,1
1955,NA,1
1956,NA,1
1957,NA,1
1958,NA,1
1959,NA,1
1960,NA,1
1961,NA,1
1962,NA,1
1963,NA,1
1964,NA,1
1965,NA,1
1966,NA,1
1967,NA,1
1968,NA,1
1969,NA,1
1970,NA,1
1971,NA,1
1972,NA,1
1973,NA,1
1974,NA,1
1975,NA,1
1976,NA,1
1977,NA,1
1978,NA,1
1979,NA,1
1980,NA,1
1981,NA,1
1982,NA,1
1983,NA,1
1984,NA,1
1985,NA,1
1986,NA,1
1987,NA,1
1988,NA,1
1989,NA,1
1990,NA,1
1991,NA,1
1992,NA,1
1993,NA,1
1994,NA,1
1995,NA,1
1996,NA,1
1997,NA,1
1998,NA,1
1999,NA,1
2000,NA,1
2001,NA,1
2002,NA,1
2003,NA,1
2004,NA,1
2005,NA,1
2006,NA,1
2007,NA,1
2008,NA,1
2009,NA,1
2010,NA,1
2011,NA,1
2012,NA,1
2013,NA,1
2014,NA,1
2015,NA,1
2016,NA,1
2017,NA,1
2018,NA,1
2019,NA,1
2020,388.0905727,1
2021,389.6164227873087,1
2022,390.7690534666181,1
2023,391.5693812742829,1
2024,392.03832282125944,1
2025,392.1967946365476,1
2026,392.0657133162022,1
2027,391.6659954115749,1
2028,391.0185575187207,1
2029,390.14431618154055,1
2030,389.0641879811883,1
2031,387.7990894913675,1
2032,386.3699372783304,1
2033,384.79764790833,1
2034,383.1031379699707,1
2035,381.3073239922525,1
2036,379.4311225563288,1
2037,377.49545026570576,1
2038,375.5212236642838,1
2039,373.5293593406678,1
2040,371.54077382385736,1
2041,369.5763837248087,1
2042,367.65710559487337,1
2043,365.80385600775486,1
2044,364.0375515222549,1
2045,362.3791087344288,1
2046,360.84944418817753,1
2047,359.469474464655,1
2048,358.26011613011354,1
2049,357.24228575825697,1
2050,356.43689990433285,1
2051,355.6521123410202,1
2052,354.9076172113418,1
2053,354.202058300376,1
2054,353.53407938778406,1
2055,352.9023242569529,1
2056,352.3054366894067,1
2057,351.7420604662039,1
2058,351.210839371197,1
2059,350.7104171849788,1
2060,350.2394376895391,1
2061,349.7965446673334,1
2062,349.3803819012829,1
2063,348.9895931719802,1
2064,348.6228222614156,1
2065,348.2787129534409,1
2066,347.9559090277182,1
2067,347.6530542680994,1
2068,347.36879245471204,1
2069,347.1017673728057,1
2070,346.85062279924756,1
2071,346.6140025220811,1
2072,346.39055031910533,1
2073,346.17890997324133,1
2074,345.9777252669447,1
2075,345.7856399826706,1
2076,345.60129790101195,1
2077,345.4233428058214,1
2078,345.25041847676033,1
2079,345.081168698147,1
2080,344.914237250574,1
2081,344.74826791789377,1
2082,344.5819044783711,1
2083,344.41379071865225,1
2084,344.2425704179331,1
2085,344.0668873591349,1
2086,343.8853853223846,1
2087,343.6967080929316,1
2088,343.49949944950635,1
2089,343.29240317735827,1
2090,343.07406305614865,1
2091,342.8431228692644,1
2092,342.59822639683256,1
2093,342.33801742270583,1
2094,342.0611397288739,1
2095,341.76623709592974,1
2096,341.4519533067941,1
2097,341.1169321448543,1
2098,340.7598173893056,1
2099,340.37925282400107,1
2100,339.97388223043504,1
2101,339.5642298583407,1
2102,339.14619722473435,1
2103,338.72005927283317,1
2104,338.2860909460578,1
2105,337.8445671875961,1
2106,337.3957629406359,1
2107,336.9399531489471,1
2108,336.4774127553683,1
2109,336.0084167032037,1
2110,335.53323993610684,1
2111,335.0521573969163,1
2112,334.565444029402,1
2113,334.0733747765189,1
2114,333.5762245815713,1
2115,333.07426838809624,1
2116,332.5677811392816,1
2117,332.0570377781987,1
2118,331.54231324850116,1
2119,331.0238824931439,1
2120,330.502020455664,1
2121,329.9770020793658,1
2122,329.4491023075534,1
2123,328.9185960832983,1
2124,328.3857583501376,1
2125,327.8508640511427,1
2126,327.3141881299671,1
2127,326.77600552968215,1
2128,326.2365911931265,1
2129,325.69622006453574,1
2130,325.1551670867483,1
2131,324.6137072027195,1
2132,324.0721153563354,1
2133,323.5306664907839,1
2134,322.98963554855436,1
2135,322.44929747423157,1
2136,321.9099272103049,1
2137,321.37179970019497,1
2138,320.83518988708965,1
2139,320.30037271464244,1
2140,319.76762312604114,1
2141,319.2372160644736,1
2142,318.70942647289485,1
2143,318.184529295424,1
2144,317.66279947478324,1
2145,317.1445119542768,1
2146,316.629941677209,1
2147,316.11936358734965,1
2148,315.61305262730457,1
2149,315.11128374072723,1
2150,314.61433187103796,1
2151,314.1145908755716,1
2152,313.60952419321984,1
2153,313.09951067040663,1
2154,312.5849291540218,1
2155,312.0661584911868,1
2156,311.5435775278602,1
2157,311.017565111164,1
2158,310.48850008728914,1
2159,309.9567613035906,1
2160,309.42272760672495,1
2161,308.88677784288313,1
2162,308.3492908589542,1
2163,307.81064550206065,1
2164,307.2712206186261,1
2165,306.73139505507413,1
2166,306.1915476582943,1
2167,305.65205727517593,1
2168,305.1133027523756,1
2169,304.5756629363168,1
2170,304.0395166736562,1
2171,303.50524281174876,1
2172,302.9732201967854,1
2173,302.4438276751898,1
2174,301.91744409431703,1
2175,301.39444830059085,1
2176,300.8752191406676,1
2177,300.3601354609709,1
2178,299.8495761086233,1
2179,299.34391993051395,1
2180,298.84354577283364,1
2181,298.3488324822391,1
2182,297.8601589058525,1
2183,297.3779038900975,1
2184,296.9024462820962,1
2185,296.4341649278067,1
2186,295.9734386743512,1
2187,295.52064636861905,1
2188,295.07616685703397,1
2189,294.6403789862525,1
2190,294.2136616031639,1
2191,293.79639355442487,1
2192,293.38895368692465,1
2193,292.9917208466213,1
2194,292.6050738811027,1
2195,292.22939163655974,1
2196,291.86505296011455,1
2197,291.51243669795804,1
2198,291.17192169697955,1
2199,290.84388680383563,1
2200,290.52871086559685,1
2201,290.21714585035807,1
2202,289.912729362899,1
2203,289.61535142577486,1
2204,289.3249020614312,1
2205,289.04127129301196,1
2206,288.7643491429626,1
2207,288.4940256337868,1
2208,288.2301907882211,1
2209,287.97273462900193,1
2210,287.72154717874935,1
2211,287.47651846002543,1
2212,287.2375384955666,1
2213,287.0044973078184,1
2214,286.77728491980815,1
2215,286.55579135386506,1
2216,286.33990663284203,1
2217,286.12952077930095,1
2218,285.9245238158037,1
2219,285.724805765145,1
2220,285.5302566498867,1
2221,285.3407664928237,1
2222,285.1562253162847,1
2223,284.9765231432975,1
2224,284.8015499963076,1
2225,284.63119589799305,1
2226,284.46535087103257,1
2227,284.30390493798757,1
2228,284.1467481216531,1
2229,283.9937704446494,1
2230,283.8448619294213,1
2231,283.6999125988805,1
2232,283.55881247558864,1
2233,283.4214515821659,1
2234,283.28771994129056,1
2235,283.1575075756409,1
2236,283.03070450766245,1
2237,282.9072007602663,1
2238,282.7868863561307,1
2239,282.6696513177012,1
2240,282.5553856677143,1
2241,282.44397942867363,1
2242,282.33532262354856,1
2243,282.22930527484266,1
2244,282.125817405118,1
2245,282.02474903705286,1
2246,281.92599019332556,1
2247,281.8294308966142,1
2248,281.734961169539,1
2249,281.6424710348365,1
2250,281.5518505148939,1
2251,281.46298963279696,1
2252,281.37577841075836,1
2253,281.2901068716892,1
2254,281.2058650381514,1
2255,281.1229429327068,1
2256,281.04123057826655,1
2257,280.96061799727613,1
2258,280.88099521247204,1
2259,280.80225224624155,1
2260,280.7242791216703,1
2261,280.6469658612622,1
2262,280.57020248746267,1
2263,280.49387902318267,1
2264,280.41788549075136,1
2265,280.34211191307986,1
2266,280.2664483128465,1
2267,280.1907847125549,1
2268,280.115011135058,1
2269,280.0390176025103,1
2270,279.9626941382302,1
2271,279.8859307644889,1
2272,279.80861750402255,1
2273,279.730644379335,1
2274,279.6519014132791,1
2275,279.5722786284168,1
2276,279.4916660474264,1
2277,279.40995369298605,1
2278,279.32703158754146,1
2279,279.24278975400375,1
2280,279.1571182149346,1
2281,279.069906992896,1
2282,278.98104611062445,1
2283,278.89042559085647,1
2284,278.79793545609573,1
2285,278.70346572907874,1
2286,278.6069064324256,1
2287,278.5081475885818,1
2288,278.4070792205748,1
2289,278.3035913508503,1
2290,278.1975740021444,1
2291,278.0889171970193,1
2292,277.97751095792034,1
2293,277.86324530799163,1
2294,277.74601026967855,1
2295,277.6256958654267,1
2296,277.5021921179723,1
2297,277.37538905005204,1
2298,277.2451766844024,1
2299,277.11144504355116,1
2300,276.9759171059547,1
1750,NA,2
1751,NA,2
1752,NA,2
1753,NA,2
1754,NA,2
1755,NA,2
1756,NA,2
1757,NA,2
1758,NA,2
1759,NA,2
1760,NA,2
1761,NA,2
1762,NA,2
1763,NA,2
1764,NA,2
1765,NA,2
1766,NA,2
1767,NA,2
1768,NA,2
1769,NA,2
1770,NA,2
1771,NA,2
1772,NA,2
1773,NA,2
1774,NA,2
1775,NA,2
1776,NA,2
1777,NA,2
1778,NA,2
1779,NA,2
1780,NA,2
1781,NA,2
1782,NA,2
1783,NA,2
1784,NA,2
1785,NA,2
1786,NA,2
1787,NA,2
1788,NA,2
1789,NA,2
1790,NA,2
1791,NA,2
1792,NA,2
1793,NA,2
1794,NA,2
1795,NA,2
1796,NA,2
1797,NA,2
1798,NA,2
1799,NA,2
1800,NA,2
1801,NA,2
1802,NA,2
1803,NA,2
1804,NA,2
1805,NA,2
1806,NA,2
1807,NA,2
1808,NA,2
1809,NA,2
1810,NA,2
1811,NA,2
1812,NA,2
1813,NA,2
1814,NA,2
1815,NA,2
1816,NA,2
1817,NA,2
1818,NA,2
1819,NA,2
1820,NA,2
1821,NA,2
1822,NA,2
1823,NA,2
1824,NA,2
1825,NA,2
1826,NA,2
1827,NA,2
1828,NA,2
1829,NA,2
1830,NA,2
1831,NA,2
1832,NA,2
1833,NA,2
1834,NA,2
1835,NA,2
1836,NA,2
1837,NA,2
1838,NA,2
1839,NA,2
1840,NA,2
1841,NA,2
1842,NA,2
1843,NA,2
1844,NA,2
1845,NA,2
1846,NA,2
1847,NA,2
1848,NA,2
1849,NA,2
1850,NA,2
1851,NA,2
1852,NA,2
1853,NA,2
1854,NA,2
1855,NA,2
1856,NA,2
1857,NA,2
1858,NA,2
1859,NA,2
1860,NA,2
1861,NA,2
1862,NA,2
1863,NA,2
1864,NA,2
1865,NA,2
1866,NA,2
1867,NA,2
1868,NA,2
1869,NA,2
1870,NA,2
1871,NA,2
1872,NA,2
1873,NA,2
1874,NA,2
1875,NA,2
1876,NA,2
1877,NA,2
1878,NA,2
1879,NA,2
1880,NA,2
1881,NA,2
1882,NA,2
1883,NA,2
1884,NA,2
1885,NA,2
1886,NA,2
1887,NA,2
1888,NA,2
1889,NA,2
1890,NA,2
1891,NA,2
1892,NA,2
1893,NA,2
1894,NA,2
1895,NA,2
1896,NA,2
1897,NA,2
1898,NA,2
1899,NA,2
1900,NA,2
1901,NA,2
1902,NA,2
1903,NA,2
1904,NA,2
1905,NA,2
1906,NA,2
1907,NA,2
1908,NA,2
1909,NA,2
1910,NA,2
1911,NA,2
1912,NA,2
1913,NA,2
1914,NA,2
1915,NA,2
1916,NA,2
1917,NA,2
1918,NA,2
1919,NA,2
1920,NA,2
1921,NA,2
1922,NA,2
1923,NA,2
1924,NA,2
1925,NA,2
1926,NA,2
1927,NA,2
1928,NA,2
1929,NA,2
1930,NA,2
1931,NA,2
1932,NA,2
1933,NA,2
1934,NA,2
1935,NA,2
1936,NA,2
1937,NA,2
1938,NA,2
1939,NA,2
1940,NA,2
1941,NA,2
1942,NA,2
1943,NA,2
1944,NA,2
1945,NA,2
1946,NA,2
1947,NA,2
1948,NA,2
1949,NA,2
1950,NA,2
1951,NA,2
1952,NA,2
1953,NA,2
1954,NA,2
1955,NA,2
1956,NA,2
1957,NA,2
1958,NA,2
1959,NA,2
1960,NA,2
1961,NA,2
1962,NA,2
1963,NA,2
1964,NA,2
1965,NA,2
1966,NA,2
1967,NA,2
1968,NA,2
1969,NA,2
1970,NA,2
1971,NA,2
1972,NA,2
1973,NA,2
1974,NA,2
1975,NA,2
1976,NA,2
1977,NA,2
1978,NA,2
1979,NA,2
1980,NA,2
1981,NA,2
1982,NA,2
1983,NA,2
1984,NA,2
1985,NA,2
1986,NA,2
1987,NA,2
1988,NA,2
1989,NA,2
1990,NA,2
1991,NA,2
1992,NA,2
1993,NA,2
1994,NA,2
1995,NA,2
1996,NA,2
1997,NA,2
1998,NA,2
1999,NA,2
2000,NA,2
2001,NA,2
2002,NA,2
2003,NA,2
2004,NA,2
2005,NA,2
2006,NA,2
2007,NA,2
2008,NA,2
2009,NA,2
2010,NA,2
2011,NA,2
2012,NA,2
2013,NA,2
2014,NA,2
2015,NA,2
2016,NA,2
2017,NA,2
2018,NA,2
2019,NA,2
2020,388.0905727,2
2021,389.6101683154703,2
2022,390.7440821379424,2
2023,391.5133007466793,2
2024,391.93881067633635,2
2025,392.0415984466673,2
2026,391.8426506146789,2
2027,391.3629537001251,2
2028,390.6234942749143,2
2029,389.6452588513494,2
2030,388.4492339715362,2
2031,387.0564061775803,2
2032,385.4877620190384,2
2033,383.7642880156637,2
2034,381.90697071701294,2
2035,379.9367966577411,2
2036,377.8747523948551,2
2037,375.7418244332076,2
2038,373.55899932235474,2
2039,371.3472636416555,2
2040,369.12760386616,2
2041,366.921006590128,2
2042,364.7484583035111,2
2043,362.6309456005693,2
2044,360.5894549712538,2
2045,358.64497295767075,2
2046,356.81848613172764,2
2047,355.1309810355306,2
2048,353.6034441515803,2
2049,352.2568620666862,2
2050,351.1122213011791,2
2051,349.976608687779,2
2052,348.85881155566307,2
2053,347.7584686700721,2
2054,346.67521879542613,2
2055,345.60870069661183,2
2056,344.5585531392134,2
2057,343.5244148878847,2
2058,342.5059247075114,2
2059,341.50272136321297,2
2060,340.5144436198752,2
2061,339.54073024238454,2
2062,338.5812199963256,2
2063,337.63555164565327,2
2064,336.703363956185,2
2065,335.7842956925742,2
2066,334.877985619707,2
2067,333.9840725027024,2
2068,333.10219510691235,2
2069,332.2319921962916,2
2070,331.3731025366579,2
2071,330.5251648931299,2
2072,329.6878180301283,2
2073,328.8607007125393,2
2074,328.0434517059476,2
2075,327.23570977500646,2
2076,326.4371136843693,2
2077,325.6473021996208,2
2078,324.8659140854143,2
2079,324.092588106636,2
2080,323.32696302887047,2
2081,322.56867761607276,2
2082,321.81737063382747,2
2083,321.0726808472536,2
2084,320.33424702077167,2
2085,319.6017079199664,2
2086,318.8747023097239,2
2087,318.15286895469757,2
2088,317.4358466197736,2
2089,316.7232740707696,2
2090,316.0147900714073,2
2091,315.3100333875046,2
2092,314.60864278394735,2
2093,313.9102570258547,2
2094,313.2145148774144,2
2095,312.5210551046767,2
2096,311.8295164718293,2
2097,311.1395377442241,2
2098,310.4507576867473,2
2099,309.762815064285,2
2100,309.0753486417276,2
2101,308.39345511817373,2
2102,307.72250308445655,2
2103,307.06218607886694,2
2104,306.4121976397,2
2105,305.77223130548373,2
2106,305.1419806142802,2
2107,304.5211391040357,2
2108,303.9094003137434,2
2109,303.3064577814657,2
2110,302.71200504503213,2
2111,302.12573564308695,2
2112,301.54734311415814,2
2113,300.9765209959587,2
2114,300.4129628269002,2
2115,299.8563621456269,2
2116,299.306412490434,2
2117,298.7628073990344,2
2118,298.2252404098398,2
2119,297.69340506149445,2
2120,297.1669948925263,2
2121,296.64570344041556,2
2122,296.12922424380656,2
2123,295.61725084111094,2
2124,295.10947677027434,2
2125,294.6055955699412,2
2126,294.10530077829026,2
2127,293.608285933733,2
2128,293.11424457398243,2
2129,292.62287023779936,2
2130,292.1338564635953,2
2131,291.6468967891997,2
2132,291.16168475337327,2
2133,290.6779138938291,2
2134,290.19527774932794,2
2135,289.7134698580485,2
2136,289.2321837579366,2
2137,288.7511129876366,2
2138,288.26995108567644,2
2139,287.78839158965263,2
2140,287.30612803809333,2
2141,286.8228539697592,2
2142,286.3382629221304,2
2143,285.85204843408417,2
2144,285.36390404368285,2
2145,284.87352328945417,2
2146,284.38059970899485,2
2147,283.8848268412985,2
2148,283.38589822431106,2
2149,282.8835073965603,2
2150,282.37734789593213,2
2151,281.8686967378017,2
2152,281.3553045664448,2
2153,280.83753483626066,2
2154,280.3157510014717,2
2155,279.79031651653355,2
2156,279.2615948347374,2
2157,278.729949410772,2
2158,278.19574369839387,2
2159,277.659341151826,2
2160,277.1211052255239,2
2161,276.58139937324455,2
2162,276.0405870485119,2
2163,275.49903170648037,2
2164,274.9570968006737,2
2165,274.41514578554785,2
2166,273.8735421146267,2
2167,273.3326492425986,2
2168,272.79283062298776,2
2169,272.2544497104828,2
2170,271.71786995884037,2
2171,271.18345482205046,2
2172,270.6515677548013,2
2173,270.1225722103846,2
2174,269.59683164325537,2
2175,269.0747095078695,2
2176,268.55656925775105,2
2177,268.0427743471228,2
2178,267.5336882306728,2
2179,267.0296743619255,2
2180,266.5310961948707,2
2181,266.0383171837312,2
2182,265.5517007829621,2
2183,265.07161044608796,2
2184,264.598409627797,2
2185,264.13246178207925,2
2186,263.6741303626913,2
2187,263.22377882339055,2
2188,262.78177061933087,2
2189,262.3484692040366,2
2190,261.92423803149717,2
2191,261.5094405561685,2
2192,261.1044402318075,2
2193,260.70960051240405,2
2194,260.32528485264623,2
2195,259.9518567062914,2
2196,259.5896795270964,2
2197,259.2391167697497,2
2198,258.9005318882409,2
2199,258.57428833632724,2
2200,258.26074956802177,2
2201,257.95086377754353,2
2202,257.64820977079216,2
2203,257.3526762892725,2
2204,257.0641520751524,2
2205,256.7825258700759,2
2206,256.5076864155707,2
2207,256.23952245374676,2
2208,255.97792272630613,2
2209,255.72277597500943,2
2210,255.47397094161715,2
2211,255.23139636788983,2
2212,254.994940995879,2
2213,254.76449356717055,2
2214,254.53994282340864,2
2215,254.32117750670295,2
2216,254.1080863586394,2
2217,253.9005581210367,2
2218,253.69848153577192,2
2219,253.50174534437247,2
2220,253.31023828906473,2
2221,253.1238491111435,2
2222,252.94246655283496,2
2223,252.7659793557832,2
2224,252.59427626163233,2
2225,252.42724601237575,2
2226,252.26477734954105,2
2227,252.10675901523783,2
2228,251.95307975122705,2
2229,251.80362829891965,2
2230,251.6582934004254,2
2231,251.51696379762143,2
2232,251.3795282319188,2
2233,251.2458754455438,2
2234,251.115894180024,2
2235,250.9894731772365,2
2236,250.8665011789999,2
2237,250.74686692690003,2
2238,250.63045916298864,2
2239,250.5171666287934,2
2240,250.4068780663656,2
2241,250.29948221752423,2
2242,250.1948678236804,2
2243,250.09292362711855,2
2244,249.9935383691918,2
2245,249.89660079183517,2
2246,249.80199963704223,2
2247,249.70962364634033,2
2248,249.61936156172305,2
2249,249.531102124718,2
2250,249.44473407731851,2
2251,249.36014616140164,2
2252,249.2772271184949,2
2253,249.19586569059177,2
2254,249.11595061945263,2
2255,249.03737064666348,2
2256,248.96001451439224,2
2257,248.8837709640502,2
2258,248.8085287375725,2
2259,248.73417657695245,2
2260,248.66060322360136,2
2261,248.58769741962905,2
2262,248.5153479067376,2
2263,248.44344342662953,2
2264,248.37187272112357,2
2265,248.3005245320965,2
2266,248.2292876011924,2
2267,248.1580506702885,2
2268,248.08670248126143,2
2269,248.01513177581364,2
2270,247.94322729564735,2
2271,247.870877782756,2
2272,247.7979719786672,2
2273,247.72439862543249,2
2274,247.65004646475427,2
2275,247.57480423839297,2
2276,247.4985606881092,2
2277,247.42120455566328,2
2278,247.34262458299057,2
2279,247.2627095117932,2
2280,247.18134808377363,2
2281,247.09842904098332,2
2282,247.0138411250664,2
2283,246.927473077667,2
2284,246.83921364077833,2
2285,246.7489515559864,2
2286,246.6565755653428,2
2287,246.5619744104333,2
2288,246.46503683319315,2
2289,246.3656515753246,2
2290,246.26370737858815,2
2291,246.15909298486076,2
2292,246.05169713590297,2
2293,245.9414085734752,2
2294,245.8281160394544,2
2295,245.71170827554303,2
2296,245.59207402344333,2
2297,245.4691020251485,2
2298,245.3426810222445,2
2299,245.2126997568668,2
2300,245.08090127392583,2
