"time","cromar_mortality_damage","trialnum"
1888,NA,1
1889,NA,1
1890,NA,1
1891,NA,1
1892,NA,1
1893,NA,1
1894,NA,1
1895,NA,1
1896,NA,1
1897,NA,1
1898,NA,1
1899,NA,1
1900,NA,1
1901,NA,1
1902,NA,1
1903,NA,1
1904,NA,1
1905,NA,1
1906,NA,1
1907,NA,1
1908,NA,1
1909,NA,1
1910,NA,1
1911,NA,1
1912,NA,1
1913,NA,1
1914,NA,1
1915,NA,1
1916,NA,1
1917,NA,1
1918,NA,1
1919,NA,1
1920,NA,1
1921,NA,1
1922,NA,1
1923,NA,1
1924,NA,1
1925,NA,1
1926,NA,1
1927,NA,1
1928,NA,1
1929,NA,1
1930,NA,1
1931,NA,1
1932,NA,1
1933,NA,1
1934,NA,1
1935,NA,1
1936,NA,1
1937,NA,1
1938,NA,1
1939,NA,1
1940,NA,1
1941,NA,1
1942,NA,1
1943,NA,1
1944,NA,1
1945,NA,1
1946,NA,1
1947,NA,1
1948,NA,1
1949,NA,1
1950,NA,1
1951,NA,1
1952,NA,1
1953,NA,1
1954,NA,1
1955,NA,1
1956,NA,1
1957,NA,1
1958,NA,1
1959,NA,1
1960,NA,1
1961,NA,1
1962,NA,1
1963,NA,1
1964,NA,1
1965,NA,1
1966,NA,1
1967,NA,1
1968,NA,1
1969,NA,1
1970,NA,1
1971,NA,1
1972,NA,1
1973,NA,1
1974,NA,1
1975,NA,1
1976,NA,1
1977,NA,1
1978,NA,1
1979,NA,1
1980,NA,1
1981,NA,1
1982,NA,1
1983,NA,1
1984,NA,1
1985,NA,1
1986,NA,1
1987,NA,1
1988,NA,1
1989,NA,1
1990,NA,1
1991,NA,1
1992,NA,1
1993,NA,1
1994,NA,1
1995,NA,1
1996,NA,1
1997,NA,1
1998,NA,1
1999,NA,1
2000,NA,1
2001,NA,1
2002,NA,1
2003,NA,1
2004,NA,1
2005,NA,1
2006,NA,1
2007,NA,1
2008,NA,1
2009,NA,1
2010,NA,1
2011,NA,1
2012,NA,1
2013,NA,1
2014,NA,1
2015,NA,1
2016,NA,1
2017,NA,1
2018,NA,1
2019,NA,1
2020,5.02931610270344e11,1
2021,5.1281655485020886e11,1
2022,5.2395460024725586e11,1
2023,5.36107151613881e11,1
2024,5.489122546454034e11,1
2025,5.619187364542708e11,1
2026,6.209945574167178e11,1
2027,6.313125141782954e11,1
2028,6.419359644695596e11,1
2029,6.530911873997772e11,1
2030,6.652375299630695e11,1
2031,7.487760578653962e11,1
2032,7.721327459827379e11,1
2033,7.974657054235985e11,1
2034,8.251410370356522e11,1
2035,8.545200213304534e11,1
2036,1.0074279044112621e12,1
2037,1.0711220289158185e12,1
2038,1.138982445728957e12,1
2039,1.2112616340149783e12,1
2040,1.2879621834965986e12,1
2041,1.3568871178702336e12,1
2042,1.372845869142732e12,1
2043,1.3903748482348323e12,1
2044,1.4097882626087732e12,1
2045,1.4317577529390793e12,1
2046,1.6030746893834387e12,1
2047,1.6401660492989172e12,1
2048,1.6782076237225251e12,1
2049,1.715823228378608e12,1
2050,1.752418414035624e12,1
2051,1.8397971611056711e12,1
2052,1.8198030569757617e12,1
2053,1.8016314612664084e12,1
2054,1.7859426673040122e12,1
2055,1.7734848673637883e12,1
2056,1.8718741546137065e12,1
2057,1.9098065106632031e12,1
2058,1.9493727100348833e12,1
2059,1.9907826710246567e12,1
2060,2.033268903919592e12,1
2061,2.054869878446297e12,1
2062,1.9963939232380283e12,1
2063,1.9434856950111887e12,1
2064,1.8962879282763625e12,1
2065,1.854790126950126e12,1
2066,1.952205708374398e12,1
2067,2.0436853322482837e12,1
2068,2.1445555317714224e12,1
2069,2.254492372761422e12,1
2070,2.373521821190086e12,1
2071,2.4044045569752427e12,1
2072,2.348291974853973e12,1
2073,2.294821384930203e12,1
2074,2.243866060587244e12,1
2075,2.195492710634297e12,1
2076,2.2014781963712285e12,1
2077,2.1582601929962083e12,1
2078,2.1198298298951575e12,1
2079,2.0860430168010974e12,1
2080,2.0562813100176675e12,1
2081,2.0486680220571921e12,1
2082,2.0939062038744067e12,1
2083,2.141524242941514e12,1
2084,2.1917796435839678e12,1
2085,2.2447754503733057e12,1
2086,2.2935468400857134e12,1
2087,2.3502356091011733e12,1
2088,2.4104905737316206e12,1
2089,2.4748989607210576e12,1
2090,2.5442067904230977e12,1
2091,2.5956770856793555e12,1
2092,2.6327186454314844e12,1
2093,2.6718025318528154e12,1
2094,2.7116450750193267e12,1
2095,2.752757908941039e12,1
2096,2.7647659227280186e12,1
2097,2.754401251675875e12,1
2098,2.7500557298070693e12,1
2099,2.7524025052200205e12,1
2100,2.76233952413777e12,1
2101,2.784801978672228e12,1
2102,2.756366435307793e12,1
2103,2.7313513731096113e12,1
2104,2.709292667123175e12,1
2105,2.689294711411874e12,1
2106,2.609891229665134e12,1
2107,2.5457854430260405e12,1
2108,2.485154916545326e12,1
2109,2.4285606439965635e12,1
2110,2.37657392822885e12,1
2111,2.3395098997440234e12,1
2112,2.323991273974882e12,1
2113,2.3096058578560444e12,1
2114,2.2952434410451343e12,1
2115,2.2811355070899175e12,1
2116,2.2569455354593906e12,1
2117,2.2605451417527837e12,1
2118,2.2694314828502974e12,1
2119,2.284365243448443e12,1
2120,2.3067439294514517e12,1
2121,2.316565158113263e12,1
2122,2.345624857357702e12,1
2123,2.37752309377913e12,1
2124,2.4115323013709653e12,1
2125,2.4477497910030273e12,1
2126,2.4514844184901816e12,1
2127,2.4616899826768716e12,1
2128,2.473394808683023e12,1
2129,2.487317914567191e12,1
2130,2.504677148336034e12,1
2131,2.415859115089777e12,1
2132,2.3724130507021353e12,1
2133,2.332517638420599e12,1
2134,2.2950408872613306e12,1
2135,2.2589254993648726e12,1
2136,2.206289869666892e12,1
2137,2.180434366249153e12,1
2138,2.1562946559183713e12,1
2139,2.1339256203295247e12,1
2140,2.1136345952260159e12,1
2141,2.074805597333032e12,1
2142,2.0669571821142522e12,1
2143,2.06162834278125e12,1
2144,2.058014832721868e12,1
2145,2.0558708995601448e12,1
2146,2.0629837553173494e12,1
2147,2.089353322689733e12,1
2148,2.117296102640324e12,1
2149,2.1468343687348938e12,1
2150,2.1785019037141604e12,1
2151,2.2046426651932417e12,1
2152,2.241627326997831e12,1
2153,2.282684929571261e12,1
2154,2.327580982521696e12,1
2155,2.374355603111538e12,1
2156,2.423053792042487e12,1
2157,2.4548865210137754e12,1
2158,2.4919436748257734e12,1
2159,2.5350261330060557e12,1
2160,2.585536063139108e12,1
2161,2.563834438366962e12,1
2162,2.528048578825165e12,1
2163,2.4980066112625215e12,1
2164,2.4733044356631963e12,1
2165,2.4508753435774053e12,1
2166,2.4701795079842515e12,1
2167,2.5759572449106914e12,1
2168,2.686251173920495e12,1
2169,2.803002296864894e12,1
2170,2.9278308555304775e12,1
2171,2.958551295527538e12,1
2172,2.99447903628584e12,1
2173,3.0391828405774995e12,1
2174,3.092737886948473e12,1
2175,3.1544059639079517e12,1
2176,3.3046512923584814e12,1
2177,3.3871239258734736e12,1
2178,3.4717987431899136e12,1
2179,3.559816783436448e12,1
2180,3.6523004478880107e12,1
2181,3.726092465941917e12,1
2182,3.7956347796051724e12,1
2183,3.8701254258977188e12,1
2184,3.9504128081800776e12,1
2185,4.03758597545734e12,1
2186,4.122235440482545e12,1
2187,4.172793853164198e12,1
2188,4.2277610572346157e12,1
2189,4.287565102380752e12,1
2190,4.3501502278897114e12,1
2191,4.531321582174783e12,1
2192,4.698153093722485e12,1
2193,4.874305592633167e12,1
2194,5.061221862745068e12,1
2195,5.260458336286456e12,1
2196,5.197054311820068e12,1
2197,5.219061436592445e12,1
2198,5.254122487594043e12,1
2199,5.298638803981061e12,1
2200,5.35093535991456e12,1
2201,5.523506234070048e12,1
2202,5.592365786104408e12,1
2203,5.673921508165473e12,1
2204,5.768540986586805e12,1
2205,5.877498345784783e12,1
2206,5.955205739622049e12,1
2207,6.020276415111177e12,1
2208,6.092667944290162e12,1
2209,6.172840826784292e12,1
2210,6.259565017356051e12,1
2211,6.477417421000767e12,1
2212,6.619615028461321e12,1
2213,6.768861546806138e12,1
2214,6.925851454784708e12,1
2215,7.090815852508673e12,1
2216,6.947799160939701e12,1
2217,6.834703156809737e12,1
2218,6.732159031041402e12,1
2219,6.641133020517553e12,1
2220,6.562661678619986e12,1
2221,6.6942128423598e12,1
2222,6.839971789045791e12,1
2223,6.994568602005951e12,1
2224,7.15365736306958e12,1
2225,7.31894898063994e12,1
2226,7.202685188848832e12,1
2227,7.152744372000644e12,1
2228,7.112430604160273e12,1
2229,7.083251663268271e12,1
2230,7.067946131800692e12,1
2231,6.990957916428644e12,1
2232,6.873165900577314e12,1
2233,6.768734274794764e12,1
2234,6.675320276993442e12,1
2235,6.591169272994671e12,1
2236,6.602486364344432e12,1
2237,6.644290033667276e12,1
2238,6.696401256435204e12,1
2239,6.759900209204629e12,1
2240,6.836419394429011e12,1
2241,7.035267244522953e12,1
2242,7.290308755076378e12,1
2243,7.571942695205863e12,1
2244,7.880361502471141e12,1
2245,8.217809618635514e12,1
2246,8.526037802172139e12,1
2247,8.572180119823752e12,1
2248,8.634056003504139e12,1
2249,8.711385297967175e12,1
2250,8.804777432449732e12,1
2251,8.739221128864943e12,1
2252,8.832421587798855e12,1
2253,8.954966005020883e12,1
2254,9.10832876819296e12,1
2255,9.289982072187213e12,1
2256,9.306416247702693e12,1
2257,9.760581004302893e12,1
2258,1.0243949304733252e13,1
2259,1.0759819485143066e13,1
2260,1.131156091104451e13,1
2261,1.1364574825822275e13,1
2262,1.1562053449935238e13,1
2263,1.177404959514338e13,1
2264,1.2003638720390215e13,1
2265,1.2254052810401844e13,1
2266,1.2470378507199496e13,1
2267,1.250154993070008e13,1
2268,1.2540251627489254e13,1
2269,1.2582625136936146e13,1
2270,1.2632173014226191e13,1
2271,1.3866714241418615e13,1
2272,1.4339060919985951e13,1
2273,1.4854758470290896e13,1
2274,1.542193706983543e13,1
2275,1.6046487393234775e13,1
2276,1.6030699331426102e13,1
2277,1.6650389821304441e13,1
2278,1.7300196392993232e13,1
2279,1.7980160030477105e13,1
2280,1.868896112542174e13,1
2281,1.970640303358395e13,1
2282,2.0508946501231414e13,1
2283,2.138263917299271e13,1
2284,2.2337665126834707e13,1
2285,2.338870344425676e13,1
2286,2.4641278965499695e13,1
2287,2.5503979400462082e13,1
2288,2.640723345750595e13,1
2289,2.733891853010974e13,1
2290,2.8305769886012246e13,1
2291,2.7504121964298203e13,1
2292,2.6974509058322992e13,1
2293,2.6522936760331207e13,1
2294,2.6155876310500074e13,1
2295,2.5881680079591184e13,1
2296,2.5441171245797418e13,1
2297,2.537879631161833e13,1
2298,2.537041622019252e13,1
2299,2.5402912983554082e13,1
2300,2.5476572803579426e13,1
1750,NA,2
1751,NA,2
1752,NA,2
1753,NA,2
1754,NA,2
1755,NA,2
1756,NA,2
1757,NA,2
1758,NA,2
1759,NA,2
1760,NA,2
1761,NA,2
1762,NA,2
1763,NA,2
1764,NA,2
1765,NA,2
1766,NA,2
1767,NA,2
1768,NA,2
1769,NA,2
1770,NA,2
1771,NA,2
1772,NA,2
1773,NA,2
1774,NA,2
1775,NA,2
1776,NA,2
1777,NA,2
1778,NA,2
1779,NA,2
1780,NA,2
1781,NA,2
1782,NA,2
1783,NA,2
1784,NA,2
1785,NA,2
1786,NA,2
1787,NA,2
1788,NA,2
1789,NA,2
1790,NA,2
1791,NA,2
1792,NA,2
1793,NA,2
1794,NA,2
1795,NA,2
1796,NA,2
1797,NA,2
1798,NA,2
1799,NA,2
1800,NA,2
1801,NA,2
1802,NA,2
1803,NA,2
1804,NA,2
1805,NA,2
1806,NA,2
1807,NA,2
1808,NA,2
1809,NA,2
1810,NA,2
1811,NA,2
1812,NA,2
1813,NA,2
1814,NA,2
1815,NA,2
1816,NA,2
1817,NA,2
1818,NA,2
1819,NA,2
1820,NA,2
1821,NA,2
1822,NA,2
1823,NA,2
1824,NA,2
1825,NA,2
1826,NA,2
1827,NA,2
1828,NA,2
1829,NA,2
1830,NA,2
1831,NA,2
1832,NA,2
1833,NA,2
1834,NA,2
1835,NA,2
1836,NA,2
1837,NA,2
1838,NA,2
1839,NA,2
1840,NA,2
1841,NA,2
1842,NA,2
1843,NA,2
1844,NA,2
1845,NA,2
1846,NA,2
1847,NA,2
1848,NA,2
1849,NA,2
1850,NA,2
1851,NA,2
1852,NA,2
1853,NA,2
1854,NA,2
1855,NA,2
1856,NA,2
1857,NA,2
1858,NA,2
1859,NA,2
1860,NA,2
1861,NA,2
1862,NA,2
1863,NA,2
1864,NA,2
1865,NA,2
1866,NA,2
1867,NA,2
1868,NA,2
1869,NA,2
1870,NA,2
1871,NA,2
1872,NA,2
1873,NA,2
1874,NA,2
1875,NA,2
1876,NA,2
1877,NA,2
1878,NA,2
1879,NA,2
1880,NA,2
1881,NA,2
1882,NA,2
1883,NA,2
1884,NA,2
1885,NA,2
1886,NA,2
1887,NA,2
1888,NA,2
1889,NA,2
1890,NA,2
1891,NA,2
1892,NA,2
1893,NA,2
1894,NA,2
1895,NA,2
1896,NA,2
1897,NA,2
1898,NA,2
1899,NA,2
1900,NA,2
1901,NA,2
1902,NA,2
1903,NA,2
1904,NA,2
1905,NA,2
1906,NA,2
1907,NA,2
1908,NA,2
1909,NA,2
1910,NA,2
1911,NA,2
1912,NA,2
1913,NA,2
1914,NA,2
1915,NA,2
1916,NA,2
1917,NA,2
1918,NA,2
1919,NA,2
1920,NA,2
1921,NA,2
1922,NA,2
1923,NA,2
1924,NA,2
1925,NA,2
1926,NA,2
1927,NA,2
1928,NA,2
1929,NA,2
1930,NA,2
1931,NA,2
1932,NA,2
1933,NA,2
1934,NA,2
1935,NA,2
1936,NA,2
1937,NA,2
1938,NA,2
1939,NA,2
1940,NA,2
1941,NA,2
1942,NA,2
1943,NA,2
1944,NA,2
1945,NA,2
1946,NA,2
1947,NA,2
1948,NA,2
1949,NA,2
1950,NA,2
1951,NA,2
1952,NA,2
1953,NA,2
1954,NA,2
1955,NA,2
1956,NA,2
1957,NA,2
1958,NA,2
1959,NA,2
1960,NA,2
1961,NA,2
1962,NA,2
1963,NA,2
1964,NA,2
1965,NA,2
1966,NA,2
1967,NA,2
1968,NA,2
1969,NA,2
1970,NA,2
1971,NA,2
1972,NA,2
1973,NA,2
1974,NA,2
1975,NA,2
1976,NA,2
1977,NA,2
1978,NA,2
1979,NA,2
1980,NA,2
1981,NA,2
1982,NA,2
1983,NA,2
1984,NA,2
1985,NA,2
1986,NA,2
1987,NA,2
1988,NA,2
1989,NA,2
1990,NA,2
1991,NA,2
1992,NA,2
1993,NA,2
1994,NA,2
1995,NA,2
1996,NA,2
1997,NA,2
1998,NA,2
1999,NA,2
2000,NA,2
2001,NA,2
2002,NA,2
2003,NA,2
2004,NA,2
2005,NA,2
2006,NA,2
2007,NA,2
2008,NA,2
2009,NA,2
2010,NA,2
2011,NA,2
2012,NA,2
2013,NA,2
2014,NA,2
2015,NA,2
2016,NA,2
2017,NA,2
2018,NA,2
2019,NA,2
2020,1.1121068015386807e12,2
2021,1.1747082442974983e12,2
2022,1.242217182001045e12,2
2023,1.31463900038927e12,2
2024,1.391549622350934e12,2
2025,1.4721422274545044e12,2
2026,1.673595482111274e12,2
2027,1.751853194738104e12,2
2028,1.8370307634383699e12,2
2029,1.9310288876062598e12,2
2030,2.0367605259617764e12,2
2031,2.164334284574613e12,2
2032,2.1349359981243752e12,2
2033,2.112223677798039e12,2
2034,2.096816596184408e12,2
2035,2.0866453661213765e12,2
2036,2.386336170254921e12,2
2037,2.473517854568888e12,2
2038,2.5659680772122944e12,2
2039,2.663894404285066e12,2
2040,2.766860686336459e12,2
2041,3.1043185349116753e12,2
2042,3.238323475420456e12,2
2043,3.3819501162824683e12,2
2044,3.5367685885767827e12,2
2045,3.7054798340363125e12,2
2046,4.0507963782993594e12,2
2047,4.156660148669936e12,2
2048,4.26852181754796e12,2
2049,4.382740790048361e12,2
2050,4.497580694080515e12,2
2051,5.1634885277888e12,2
2052,5.492972580130312e12,2
2053,5.848971605380506e12,2
2054,6.236675326397407e12,2
2055,6.662815951947025e12,2
2056,7.35992540346505e12,2
2057,7.723631367055294e12,2
2058,8.114564192947895e12,2
2059,8.53537248166257e12,2
2060,8.984452391635025e12,2
2061,9.550938058665031e12,2
2062,9.903634589238703e12,2
2063,1.0286086562905582e13,2
2064,1.0702814094636875e13,2
2065,1.115809865708302e13,2
2066,1.145761880898596e13,2
2067,1.1625578984466928e13,2
2068,1.1854031237070834e13,2
2069,1.2134403067454824e13,2
2070,1.2460827472205318e13,2
2071,1.310407336261958e13,2
2072,1.3521399970849373e13,2
2073,1.396887907937318e13,2
2074,1.4448651012296215e13,2
2075,1.4964144238221654e13,2
2076,1.5466720585449852e13,2
2077,1.5775914150892117e13,2
2078,1.6122998735132057e13,2
2079,1.651046377013791e13,2
2080,1.6936609059908607e13,2
2081,1.7451851747682092e13,2
2082,1.7995509537448082e13,2
2083,1.8574872946523133e13,2
2084,1.919512771201e13,2
2085,1.9861063515512277e13,2
2086,1.9838351995985984e13,2
2087,1.9736948786361902e13,2
2088,1.9662392570344355e13,2
2089,1.9618411183802254e13,2
2090,1.9609797222022645e13,2
2091,2.017040794594379e13,2
2092,2.1008371468253824e13,2
2093,2.1930804003895188e13,2
2094,2.2933384101026887e13,2
2095,2.4027389382772195e13,2
2096,2.478131488072435e13,2
2097,2.52027034727299e13,2
2098,2.5684193840441867e13,2
2099,2.6236198484625473e13,2
2100,2.687263015987688e13,2
2101,2.8116703375787227e13,2
2102,2.9064508076831656e13,2
2103,3.0079598786259094e13,2
2104,3.1156287525481887e13,2
2105,3.2284002239130703e13,2
2106,3.3906420243972445e13,2
2107,3.4573806251253176e13,2
2108,3.529460678607885e13,2
2109,3.60808874248441e13,2
2110,3.694759793517638e13,2
2111,3.657120490747774e13,2
2112,3.6285461235354586e13,2
2113,3.602766617621108e13,2
2114,3.57811453576282e13,2
2115,3.554776848888459e13,2
2116,3.485453757423563e13,2
2117,3.425386739988184e13,2
2118,3.3694236206913863e13,2
2119,3.3180893236371008e13,2
2120,3.272681536722077e13,2
2121,3.3679620559037254e13,2
2122,3.447679523738177e13,2
2123,3.533687846650713e13,2
2124,3.6247995375029445e13,2
2125,3.721094942672198e13,2
2126,3.810955017632049e13,2
2127,3.9311076750489055e13,2
2128,4.058769349861534e13,2
2129,4.195632606449616e13,2
2130,4.344462032624418e13,2
2131,4.442682211850237e13,2
2132,4.448749611009009e13,2
2133,4.461869649334725e13,2
2134,4.480101565699246e13,2
2135,4.5013547164011164e13,2
2136,4.547770559199517e13,2
2137,4.5936332035048336e13,2
2138,4.64772068041379e13,2
2139,4.711118749147181e13,2
2140,4.785572459864836e13,2
2141,5.030497140479739e13,2
2142,5.239238734671978e13,2
2143,5.4633011348043984e13,2
2144,5.70204449868268e13,2
2145,5.956090686196673e13,2
2146,6.084698251383324e13,2
2147,6.220420045563335e13,2
2148,6.373233236517322e13,2
2149,6.544956629159533e13,2
2150,6.7392646428722336e13,2
2151,6.619715418323522e13,2
2152,6.5471121748585484e13,2
2153,6.491870494380985e13,2
2154,6.452604653714865e13,2
2155,6.4233920070089055e13,2
2156,6.369617994489019e13,2
2157,6.372662212722881e13,2
2158,6.380561851972493e13,2
2159,6.394265763115329e13,2
2160,6.4162212517596336e13,2
2161,6.668507882500927e13,2
2162,6.8684091862824305e13,2
2163,7.100727272047239e13,2
2164,7.368613467292989e13,2
2165,7.667421180087522e13,2
2166,7.983837718983845e13,2
2167,8.391677433998553e13,2
2168,8.827696809131516e13,2
2169,9.299237211630381e13,2
2170,9.813288731675806e13,2
2171,9.800699585086036e13,2
2172,9.836249343386102e13,2
2173,9.888825318472092e13,2
2174,9.95740402798636e13,2
2175,1.0037879385782595e14,2
2176,9.689974077985138e13,2
2177,9.335370276612081e13,2
2178,9.046891454998172e13,2
2179,8.816811729925338e13,2
2180,8.639118849141527e13,2
2181,8.606732668929444e13,2
2182,8.587178672319658e13,2
2183,8.581211489673778e13,2
2184,8.59014027093655e13,2
2185,8.615744459652202e13,2
2186,8.897909561358756e13,2
2187,8.871963863636212e13,2
2188,8.865440825135284e13,2
2189,8.878942735754422e13,2
2190,8.908423058035239e13,2
2191,9.143300852493805e13,2
2192,9.323477055191547e13,2
2193,9.514279016371428e13,2
2194,9.718187530662852e13,2
2195,9.937799086650861e13,2
2196,9.919307382457616e13,2
2197,9.80782969511625e13,2
2198,9.716117402002877e13,2
2199,9.636796040856847e13,2
2200,9.565701700794584e13,2
2201,9.600230586876616e13,2
2202,9.674683324305762e13,2
2203,9.756088173831903e13,2
2204,9.84439543936106e13,2
2205,9.940786318950183e13,2
2206,1.0009180066366438e14,2
2207,1.0382328438814848e14,2
2208,1.0805438373763858e14,2
2209,1.1286863440479194e14,2
2210,1.1833376775862797e14,2
2211,1.1773976828631414e14,2
2212,1.1661833953308589e14,2
2213,1.1558626389745555e14,2
2214,1.146455793416056e14,2
2215,1.137926278526985e14,2
2216,1.1379973719078756e14,2
2217,1.1125789381262895e14,2
2218,1.0894938014678198e14,2
2219,1.0688362357186123e14,2
2220,1.0507197434136662e14,2
2221,1.0529806800752158e14,2
2222,1.0591337344173638e14,2
2223,1.0671132053094989e14,2
2224,1.0761876498443434e14,2
2225,1.0865192923852281e14,2
2226,1.0595465288562144e14,2
2227,1.0440879412146516e14,2
2228,1.0300752969578353e14,2
2229,1.0177265589477573e14,2
2230,1.007438303131493e14,2
2231,1.0330557492475545e14,2
2232,1.0763437237016122e14,2
2233,1.1237927045618266e14,2
2234,1.1753992610766917e14,2
2235,1.2311888246336636e14,2
2236,1.278750050625795e14,2
2237,1.346856650618502e14,2
2238,1.4194591010473006e14,2
2239,1.4971185320577247e14,2
2240,1.5805862700692912e14,2
2241,1.5898209723898256e14,2
2242,1.5638316635567116e14,2
2243,1.5396565633657594e14,2
2244,1.5165573220984616e14,2
2245,1.4941379131388838e14,2
2246,1.4991675750863334e14,2
2247,1.485172955463684e14,2
2248,1.473765698805769e14,2
2249,1.46490080120459e14,2
2250,1.458658794630991e14,2
2251,1.4476964589076266e14,2
2252,1.4440937134153347e14,2
2253,1.4430605936403e14,2
2254,1.4447280657002925e14,2
2255,1.4486021061904975e14,2
2256,1.478020742756873e14,2
2257,1.4922785973982853e14,2
2258,1.5076940458343266e14,2
2259,1.5243700653001916e14,2
2260,1.542393909453847e14,2
2261,1.5187655896754988e14,2
2262,1.5225163064638862e14,2
2263,1.5279504599923666e14,2
2264,1.5354228699923275e14,2
2265,1.5453025929841853e14,2
2266,1.5173386382488028e14,2
2267,1.530332717185809e14,2
2268,1.5455401392531225e14,2
2269,1.5624277031508716e14,2
2270,1.5813386441066894e14,2
2271,1.5920605588611072e14,2
2272,1.5685237554574762e14,2
2273,1.547685786343564e14,2
2274,1.530073241500268e14,2
2275,1.5159267254658175e14,2
2276,1.5598005834367728e14,2
2277,1.6091758104411284e14,2
2278,1.6636964079271312e14,2
2279,1.723475248224391e14,2
2280,1.7885353373856172e14,2
2281,1.8135409485515406e14,2
2282,1.8180047544527216e14,2
2283,1.8239779563325016e14,2
2284,1.831895813343534e14,2
2285,1.842457710001007e14,2
2286,1.843220649383863e14,2
2287,1.8044335039965284e14,2
2288,1.7695501828035578e14,2
2289,1.7375752127959062e14,2
2290,1.708700771485086e14,2
2291,1.7584501049928997e14,2
2292,1.7665887168278428e14,2
2293,1.77611041336505e14,2
2294,1.787605088943083e14,2
2295,1.8018329581615888e14,2
2296,1.87214004750415e14,2
2297,1.926167466599427e14,2
2298,1.984812729806227e14,2
2299,2.0472980894264447e14,2
2300,2.1137052395747738e14,2
