"time","agriculture_damage","trialnum"
1888,NA,1
1889,NA,1
1890,NA,1
1891,NA,1
1892,NA,1
1893,NA,1
1894,NA,1
1895,NA,1
1896,NA,1
1897,NA,1
1898,NA,1
1899,NA,1
1900,NA,1
1901,NA,1
1902,NA,1
1903,NA,1
1904,NA,1
1905,NA,1
1906,NA,1
1907,NA,1
1908,NA,1
1909,NA,1
1910,NA,1
1911,NA,1
1912,NA,1
1913,NA,1
1914,NA,1
1915,NA,1
1916,NA,1
1917,NA,1
1918,NA,1
1919,NA,1
1920,NA,1
1921,NA,1
1922,NA,1
1923,NA,1
1924,NA,1
1925,NA,1
1926,NA,1
1927,NA,1
1928,NA,1
1929,NA,1
1930,NA,1
1931,NA,1
1932,NA,1
1933,NA,1
1934,NA,1
1935,NA,1
1936,NA,1
1937,NA,1
1938,NA,1
1939,NA,1
1940,NA,1
1941,NA,1
1942,NA,1
1943,NA,1
1944,NA,1
1945,NA,1
1946,NA,1
1947,NA,1
1948,NA,1
1949,NA,1
1950,NA,1
1951,NA,1
1952,NA,1
1953,NA,1
1954,NA,1
1955,NA,1
1956,NA,1
1957,NA,1
1958,NA,1
1959,NA,1
1960,NA,1
1961,NA,1
1962,NA,1
1963,NA,1
1964,NA,1
1965,NA,1
1966,NA,1
1967,NA,1
1968,NA,1
1969,NA,1
1970,NA,1
1971,NA,1
1972,NA,1
1973,NA,1
1974,NA,1
1975,NA,1
1976,NA,1
1977,NA,1
1978,NA,1
1979,NA,1
1980,NA,1
1981,NA,1
1982,NA,1
1983,NA,1
1984,NA,1
1985,NA,1
1986,NA,1
1987,NA,1
1988,NA,1
1989,NA,1
1990,NA,1
1991,NA,1
1992,NA,1
1993,NA,1
1994,NA,1
1995,NA,1
1996,NA,1
1997,NA,1
1998,NA,1
1999,NA,1
2000,NA,1
2001,NA,1
2002,NA,1
2003,NA,1
2004,NA,1
2005,NA,1
2006,NA,1
2007,NA,1
2008,NA,1
2009,NA,1
2010,NA,1
2011,NA,1
2012,NA,1
2013,NA,1
2014,NA,1
2015,NA,1
2016,NA,1
2017,NA,1
2018,NA,1
2019,NA,1
2020,-1.4434226786525983e11,1
2021,-1.5212439183594714e11,1
2022,-1.602938894021002e11,1
2023,-1.6869582269646e11,1
2024,-1.7705594227800278e11,1
2025,-1.85012170882572e11,1
2026,-1.927539700426701e11,1
2027,-2.0016169123177463e11,1
2028,-2.076102507762452e11,1
2029,-2.152720458333512e11,1
2030,-2.235208260485792e11,1
2031,-2.327237875116086e11,1
2032,-2.4290815165255563e11,1
2033,-2.5431405615335806e11,1
2034,-2.6720671433641776e11,1
2035,-2.810733109933113e11,1
2036,-2.9899602488759296e11,1
2037,-3.177126275098844e11,1
2038,-3.371477583469474e11,1
2039,-3.573203190192e11,1
2040,-3.780787767311046e11,1
2041,-3.883923340747009e11,1
2042,-3.991325867168646e11,1
2043,-4.1065827584959705e11,1
2044,-4.231653176365442e11,1
2045,-4.370779960732539e11,1
2046,-4.5005978622282776e11,1
2047,-4.6375012473805597e11,1
2048,-4.776460991046024e11,1
2049,-4.909653541402026e11,1
2050,-5.0338183129754755e11,1
2051,-5.081693029195324e11,1
2052,-5.129902595726088e11,1
2053,-5.1806114222994904e11,1
2054,-5.237694962936755e11,1
2055,-5.305695652087204e11,1
2056,-5.414106251291994e11,1
2057,-5.367774669896587e11,1
2058,-5.1949459406783923e11,1
2059,-5.025807775385874e11,1
2060,-4.868662664283069e11,1
2061,-4.631366986528793e11,1
2062,-4.414018527539991e11,1
2063,-4.2089795768843726e11,1
2064,-4.011351967681988e11,1
2065,-3.817977911704904e11,1
2066,-3.699969636547331e11,1
2067,-3.5659426570229584e11,1
2068,-3.4241709841646606e11,1
2069,-3.2861221243692065e11,1
2070,-3.1594955780321014e11,1
2071,-2.944282057767364e11,1
2072,-2.746257235817103e11,1
2073,-2.5578766553175778e11,1
2074,-2.379212916918105e11,1
2075,-2.2084752909568103e11,1
2076,-2.040090310760331e11,1
2077,-1.871855589247214e11,1
2078,-1.6981546222501694e11,1
2079,-1.5182855975624567e11,1
2080,-1.3368874964184871e11,1
2081,-1.1904129561985579e11,1
2082,-1.0475604260826434e11,1
2083,-9.117641561563728e10,1
2084,-7.814506956228807e10,1
2085,-6.568887481456825e10,1
2086,-5.565863196869525e10,1
2087,-4.559402663462975e10,1
2088,-3.5113002830861275e10,1
2089,-2.3776100212180325e10,1
2090,-1.1035101570987238e10,1
2091,4.894089280248726e9,1
2092,2.1246890297420597e10,1
2093,3.678872462583479e10,1
2094,5.025894170048742e10,1
2095,6.212338333912807e10,1
2096,7.083033720965645e10,1
2097,7.892600690049654e10,1
2098,8.69770191699735e10,1
2099,9.550762678592314e10,1
2100,1.0521994782752652e11,1
2101,1.156018789677608e11,1
2102,1.266014891100868e11,1
2103,1.359632841481126e11,1
2104,1.4368094089782306e11,1
2105,1.4926616109636496e11,1
2106,1.5428453737330148e11,1
2107,1.5852491826099042e11,1
2108,1.627071924015408e11,1
2109,1.6750435482847678e11,1
2110,1.735932254389496e11,1
2111,1.8323614985229285e11,1
2112,1.936151274505118e11,1
2113,2.0277972810826584e11,1
2114,2.0988743679199466e11,1
2115,2.1532801951906384e11,1
2116,2.2381616127227502e11,1
2117,2.3175086077741376e11,1
2118,2.4002660990221216e11,1
2119,2.4919810736408478e11,1
2120,2.6040860996369855e11,1
2121,2.6837383174523898e11,1
2122,2.787152551523476e11,1
2123,2.883829333626962e11,1
2124,2.966019880024519e11,1
2125,3.033990162628161e11,1
2126,3.0882394312125433e11,1
2127,3.1342612540568005e11,1
2128,3.180784247722563e11,1
2129,3.234595281957931e11,1
2130,3.307006187124206e11,1
2131,3.3655035140186597e11,1
2132,3.440031491543026e11,1
2133,3.508670233271621e11,1
2134,3.593025297002856e11,1
2135,3.6713871853787146e11,1
2136,3.7162910215183417e11,1
2137,3.747470660601927e11,1
2138,3.783090623051209e11,1
2139,3.825125474033854e11,1
2140,3.8798474350522125e11,1
2141,3.8966522373047125e11,1
2142,3.9420585776376294e11,1
2143,3.993808868290056e11,1
2144,4.040272979623494e11,1
2145,4.079241732480084e11,1
2146,4.212390944868999e11,1
2147,4.3369204905766907e11,1
2148,4.4594088624775726e11,1
2149,4.579448478632483e11,1
2150,4.704907576298731e11,1
2151,4.790295995332712e11,1
2152,4.8951766804099316e11,1
2153,5.036075245247527e11,1
2154,5.206981869774713e11,1
2155,5.375644786006567e11,1
2156,5.605837869850669e11,1
2157,5.821252485514728e11,1
2158,6.017054926293622e11,1
2159,6.200493167173834e11,1
2160,6.387966103918169e11,1
2161,6.401550677153577e11,1
2162,6.448104142457017e11,1
2163,6.542663175257228e11,1
2164,6.682001353252385e11,1
2165,6.818548602507689e11,1
2166,7.12498546325794e11,1
2167,7.414799731221113e11,1
2168,7.678819560356382e11,1
2169,7.942150860564606e11,1
2170,8.222413825083936e11,1
2171,8.393569310120686e11,1
2172,8.60005323522227e11,1
2173,8.864060209572926e11,1
2174,9.17930310158098e11,1
2175,9.52525369370008e11,1
2176,9.824826907693962e11,1
2177,1.0104531473002301e12,1
2178,1.0353638903587437e12,1
2179,1.0587576802069243e12,1
2180,1.0820726507976022e12,1
2181,1.110924047202565e12,1
2182,1.141341195216734e12,1
2183,1.173875958543615e12,1
2184,1.2095419600767502e12,1
2185,1.2496958219291445e12,1
2186,1.2752423249042166e12,1
2187,1.3045494963608035e12,1
2188,1.334834544556721e12,1
2189,1.3664882609415632e12,1
2190,1.3961880295535667e12,1
2191,1.4354271145406746e12,1
2192,1.4741472708943064e12,1
2193,1.5148271599015476e12,1
2194,1.558785721277865e12,1
2195,1.607370479176285e12,1
2196,1.6371464307253713e12,1
2197,1.6754689306636655e12,1
2198,1.7191434638353523e12,1
2199,1.7628832896081108e12,1
2200,1.8039566126358057e12,1
2201,1.833691591197199e12,1
2202,1.8630475604459658e12,1
2203,1.8951567979607092e12,1
2204,1.9297594217418376e12,1
2205,1.9677275451868274e12,1
2206,1.9818450586043406e12,1
2207,1.9991722685934934e12,1
2208,2.0222147296146938e12,1
2209,2.0513767279883914e12,1
2210,2.0847850763903867e12,1
2211,2.130898322432186e12,1
2212,2.1765718796600264e12,1
2213,2.22050601199606e12,1
2214,2.263223991528144e12,1
2215,2.304609091487322e12,1
2216,2.2679648563349883e12,1
2217,2.2341291794592686e12,1
2218,2.2046400683780684e12,1
2219,2.1810250092939895e12,1
2220,2.1648415616708276e12,1
2221,2.19722861142991e12,1
2222,2.2354236098396274e12,1
2223,2.273918703979914e12,1
2224,2.307185190330767e12,1
2225,2.3370359475085815e12,1
2226,2.328750849512977e12,1
2227,2.321312530696694e12,1
2228,2.316613988368408e12,1
2229,2.3165889132540713e12,1
2230,2.32459137324713e12,1
2231,2.2924236635513716e12,1
2232,2.2641564961119365e12,1
2233,2.2387505219547295e12,1
2234,2.214201264950397e12,1
2235,2.1891195731050774e12,1
2236,2.209749728679334e12,1
2237,2.230487055925496e12,1
2238,2.2539541501255757e12,1
2239,2.2813249877490786e12,1
2240,2.3143620062447944e12,1
2241,2.3831806504184746e12,1
2242,2.463963283600799e12,1
2243,2.552294918914561e12,1
2244,2.644846825049895e12,1
2245,2.739944972659665e12,1
2246,2.724169395929054e12,1
2247,2.709823522497163e12,1
2248,2.6981856924464067e12,1
2249,2.689408590108653e12,1
2250,2.684374118360511e12,1
2251,2.704579990454035e12,1
2252,2.7307841874481265e12,1
2253,2.7649740311287144e12,1
2254,2.807533131171396e12,1
2255,2.8547029679162773e12,1
2256,2.9259155714772905e12,1
2257,2.9988700761097163e12,1
2258,3.071564497281054e12,1
2259,3.1447980026004995e12,1
2260,3.2191047489660884e12,1
2261,3.25580568612889e12,1
2262,3.2973674667399404e12,1
2263,3.3454594196834004e12,1
2264,3.402460284511782e12,1
2265,3.4707980255520854e12,1
2266,3.5030366788316924e12,1
2267,3.5400925661630713e12,1
2268,3.573982904691921e12,1
2269,3.6010837923481733e12,1
2270,3.6241673552883887e12,1
2271,3.6529574510135024e12,1
2272,3.6861091121496357e12,1
2273,3.726333335522847e12,1
2274,3.778005466466026e12,1
2275,3.8432865014831133e12,1
2276,3.9501868969706587e12,1
2277,4.0613885997334565e12,1
2278,4.173808952652676e12,1
2279,4.286382046490833e12,1
2280,4.3970990989399204e12,1
2281,4.496696638982946e12,1
2282,4.603040798709394e12,1
2283,4.718322766151457e12,1
2284,4.845868185008561e12,1
2285,4.991300395187827e12,1
2286,5.148937081472302e12,1
2287,5.3190348851223545e12,1
2288,5.494959762144291e12,1
2289,5.668471495858672e12,1
2290,5.842644758427315e12,1
2291,5.852604454875711e12,1
2292,5.866301877877976e12,1
2293,5.887503782908169e12,1
2294,5.92185408893894e12,1
2295,5.976371124854813e12,1
2296,6.029426742807103e12,1
2297,6.09474845725375e12,1
2298,6.164522444271547e12,1
2299,6.22874671475702e12,1
2300,6.2863640258645205e12,1
1750,NA,2
1751,NA,2
1752,NA,2
1753,NA,2
1754,NA,2
1755,NA,2
1756,NA,2
1757,NA,2
1758,NA,2
1759,NA,2
1760,NA,2
1761,NA,2
1762,NA,2
1763,NA,2
1764,NA,2
1765,NA,2
1766,NA,2
1767,NA,2
1768,NA,2
1769,NA,2
1770,NA,2
1771,NA,2
1772,NA,2
1773,NA,2
1774,NA,2
1775,NA,2
1776,NA,2
1777,NA,2
1778,NA,2
1779,NA,2
1780,NA,2
1781,NA,2
1782,NA,2
1783,NA,2
1784,NA,2
1785,NA,2
1786,NA,2
1787,NA,2
1788,NA,2
1789,NA,2
1790,NA,2
1791,NA,2
1792,NA,2
1793,NA,2
1794,NA,2
1795,NA,2
1796,NA,2
1797,NA,2
1798,NA,2
1799,NA,2
1800,NA,2
1801,NA,2
1802,NA,2
1803,NA,2
1804,NA,2
1805,NA,2
1806,NA,2
1807,NA,2
1808,NA,2
1809,NA,2
1810,NA,2
1811,NA,2
1812,NA,2
1813,NA,2
1814,NA,2
1815,NA,2
1816,NA,2
1817,NA,2
1818,NA,2
1819,NA,2
1820,NA,2
1821,NA,2
1822,NA,2
1823,NA,2
1824,NA,2
1825,NA,2
1826,NA,2
1827,NA,2
1828,NA,2
1829,NA,2
1830,NA,2
1831,NA,2
1832,NA,2
1833,NA,2
1834,NA,2
1835,NA,2
1836,NA,2
1837,NA,2
1838,NA,2
1839,NA,2
1840,NA,2
1841,NA,2
1842,NA,2
1843,NA,2
1844,NA,2
1845,NA,2
1846,NA,2
1847,NA,2
1848,NA,2
1849,NA,2
1850,NA,2
1851,NA,2
1852,NA,2
1853,NA,2
1854,NA,2
1855,NA,2
1856,NA,2
1857,NA,2
1858,NA,2
1859,NA,2
1860,NA,2
1861,NA,2
1862,NA,2
1863,NA,2
1864,NA,2
1865,NA,2
1866,NA,2
1867,NA,2
1868,NA,2
1869,NA,2
1870,NA,2
1871,NA,2
1872,NA,2
1873,NA,2
1874,NA,2
1875,NA,2
1876,NA,2
1877,NA,2
1878,NA,2
1879,NA,2
1880,NA,2
1881,NA,2
1882,NA,2
1883,NA,2
1884,NA,2
1885,NA,2
1886,NA,2
1887,NA,2
1888,NA,2
1889,NA,2
1890,NA,2
1891,NA,2
1892,NA,2
1893,NA,2
1894,NA,2
1895,NA,2
1896,NA,2
1897,NA,2
1898,NA,2
1899,NA,2
1900,NA,2
1901,NA,2
1902,NA,2
1903,NA,2
1904,NA,2
1905,NA,2
1906,NA,2
1907,NA,2
1908,NA,2
1909,NA,2
1910,NA,2
1911,NA,2
1912,NA,2
1913,NA,2
1914,NA,2
1915,NA,2
1916,NA,2
1917,NA,2
1918,NA,2
1919,NA,2
1920,NA,2
1921,NA,2
1922,NA,2
1923,NA,2
1924,NA,2
1925,NA,2
1926,NA,2
1927,NA,2
1928,NA,2
1929,NA,2
1930,NA,2
1931,NA,2
1932,NA,2
1933,NA,2
1934,NA,2
1935,NA,2
1936,NA,2
1937,NA,2
1938,NA,2
1939,NA,2
1940,NA,2
1941,NA,2
1942,NA,2
1943,NA,2
1944,NA,2
1945,NA,2
1946,NA,2
1947,NA,2
1948,NA,2
1949,NA,2
1950,NA,2
1951,NA,2
1952,NA,2
1953,NA,2
1954,NA,2
1955,NA,2
1956,NA,2
1957,NA,2
1958,NA,2
1959,NA,2
1960,NA,2
1961,NA,2
1962,NA,2
1963,NA,2
1964,NA,2
1965,NA,2
1966,NA,2
1967,NA,2
1968,NA,2
1969,NA,2
1970,NA,2
1971,NA,2
1972,NA,2
1973,NA,2
1974,NA,2
1975,NA,2
1976,NA,2
1977,NA,2
1978,NA,2
1979,NA,2
1980,NA,2
1981,NA,2
1982,NA,2
1983,NA,2
1984,NA,2
1985,NA,2
1986,NA,2
1987,NA,2
1988,NA,2
1989,NA,2
1990,NA,2
1991,NA,2
1992,NA,2
1993,NA,2
1994,NA,2
1995,NA,2
1996,NA,2
1997,NA,2
1998,NA,2
1999,NA,2
2000,NA,2
2001,NA,2
2002,NA,2
2003,NA,2
2004,NA,2
2005,NA,2
2006,NA,2
2007,NA,2
2008,NA,2
2009,NA,2
2010,NA,2
2011,NA,2
2012,NA,2
2013,NA,2
2014,NA,2
2015,NA,2
2016,NA,2
2017,NA,2
2018,NA,2
2019,NA,2
2020,3.67988186833833e11,2
2021,3.969160605973109e11,2
2022,4.2755627507302203e11,2
2023,4.5958746553399805e11,2
2024,4.922919672914101e11,2
2025,5.2461750996885895e11,2
2026,5.501502657832345e11,2
2027,5.748374009947144e11,2
2028,5.996945256637021e11,2
2029,6.253033299118677e11,2
2030,6.527799950112942e11,2
2031,6.527481228754036e11,2
2032,6.544150912302668e11,2
2033,6.582429483117734e11,2
2034,6.646869299944629e11,2
2035,6.723480325983333e11,2
2036,7.089660608012197e11,2
2037,7.468080197993037e11,2
2038,7.855525977495254e11,2
2039,8.251572649812699e11,2
2040,8.651687979373746e11,2
2041,8.999387556785829e11,2
2042,9.361223621914536e11,2
2043,9.746541388208544e11,2
2044,1.0161634038705219e12,2
2045,1.0618501233648362e12,2
2046,1.0935377947288958e12,2
2047,1.1332963196025388e12,2
2048,1.2020510743366348e12,2
2049,1.2681603838383574e12,2
2050,1.3293051691147983e12,2
2051,1.42778639762005e12,2
2052,1.5310276240676152e12,2
2053,1.6407779347921587e12,2
2054,1.7603567796898186e12,2
2055,1.8942822960043555e12,2
2056,1.9973777716739124e12,2
2057,2.1079151257192456e12,2
2058,2.2231225305300425e12,2
2059,2.3436829363716963e12,2
2060,2.4663628708379814e12,2
2061,2.5444708799751323e12,2
2062,2.623613599797547e12,2
2063,2.706764667351486e12,2
2064,2.796265547355562e12,2
2065,2.8939684702052305e12,2
2066,3.042853290384987e12,2
2067,3.2106056151192617e12,2
2068,3.394305832325551e12,2
2069,3.589123047653023e12,2
2070,3.791444592533791e12,2
2071,3.8963412492427793e12,2
2072,4.0011632209124683e12,2
2073,4.1096085226676504e12,2
2074,4.222072254689642e12,2
2075,4.339795213759717e12,2
2076,4.461439228253183e12,2
2077,4.591419485015275e12,2
2078,4.733349344138795e12,2
2079,4.888394084225597e12,2
2080,5.054515222305382e12,2
2081,5.227256308533473e12,2
2082,5.403589463762217e12,2
2083,5.581348649528917e12,2
2084,5.761236520364773e12,2
2085,5.943193193580931e12,2
2086,6.006432606359313e12,2
2087,6.074629527938679e12,2
2088,6.150564390156797e12,2
2089,6.23739807413032e12,2
2090,6.339123870207273e12,2
2091,6.65432423712313e12,2
2092,6.995931677479061e12,2
2093,7.357735414545563e12,2
2094,7.731389209636924e12,2
2095,8.119429884160471e12,2
2096,8.193186307610253e12,2
2097,8.270536126360963e12,2
2098,8.356250713986929e12,2
2099,8.455058618767858e12,2
2100,8.573434752376064e12,2
2101,8.878947601663566e12,2
2102,9.174567814361705e12,2
2103,9.492765651061709e12,2
2104,9.828275462940357e12,2
2105,1.0172554890321707e13,2
2106,1.0371773896071408e13,2
2107,1.0580229665281016e13,2
2108,1.080301591381123e13,2
2109,1.104662760749819e13,2
2110,1.1319210437952615e13,2
2111,1.134784566190106e13,2
2112,1.139395209645339e13,2
2113,1.1436714488765605e13,2
2114,1.1465767791734428e13,2
2115,1.1482669507472875e13,2
2116,1.1459465757080016e13,2
2117,1.1431672099404406e13,2
2118,1.1407989570408258e13,2
2119,1.1393822649706566e13,2
2120,1.1428074662286223e13,2
2121,1.1697698765054281e13,2
2122,1.2022648614623793e13,2
2123,1.2355127504902475e13,2
2124,1.2678318913975639e13,2
2125,1.2990030573123668e13,2
2126,1.3345992576332098e13,2
2127,1.3697682663301172e13,2
2128,1.4060492838710295e13,2
2129,1.4448447382653791e13,2
2130,1.4886255589735475e13,2
2131,1.5008787245852096e13,2
2132,1.5179559434108111e13,2
2133,1.5355734717885668e13,2
2134,1.5517281316762283e13,2
2135,1.5642719859886182e13,2
2136,1.5758836350890174e13,2
2137,1.5863620561904924e13,2
2138,1.5980344096742408e13,2
2139,1.6113938839684516e13,2
2140,1.6274867861499143e13,2
2141,1.6883148070277803e13,2
2142,1.7562089180465883e13,2
2143,1.8288134812009645e13,2
2144,1.904519372473993e13,2
2145,1.9828781674732445e13,2
2146,2.0113593209412023e13,2
2147,2.039684117661992e13,2
2148,2.0689823455513496e13,2
2149,2.0992950783744484e13,2
2150,2.1320472149154348e13,2
2151,2.1253237638372477e13,2
2152,2.122685870151985e13,2
2153,2.126853113824284e13,2
2154,2.137082097297657e13,2
2155,2.1484585820676637e13,2
2156,2.158902123955408e13,2
2157,2.1679141983498066e13,2
2158,2.174650144221655e13,2
2159,2.1800438012821633e13,2
2160,2.1863373894565816e13,2
2161,2.238497683162084e13,2
2162,2.2981544158214105e13,2
2163,2.368412027830081e13,2
2164,2.4500112744542805e13,2
2165,2.536659976720097e13,2
2166,2.6183911069197703e13,2
2167,2.6997485912169832e13,2
2168,2.7788887821254312e13,2
2169,2.859435098222704e13,2
2170,2.9441577682549344e13,2
2171,2.9480275967468516e13,2
2172,2.956374074761049e13,2
2173,2.972594086075129e13,2
2174,2.995877726562452e13,2
2175,3.023088979581787e13,2
2176,2.9616343927474336e13,2
2177,2.9048966670417035e13,2
2178,2.8506402193212055e13,2
2179,2.80017766238929e13,2
2180,2.754764429796916e13,2
2181,2.738119597021138e13,2
2182,2.7249624453146094e13,2
2183,2.7159199814126516e13,2
2184,2.712061972659249e13,2
2185,2.7147645357357168e13,2
2186,2.734148528131975e13,2
2187,2.759449730835211e13,2
2188,2.7876856035812773e13,2
2189,2.819095506621016e13,2
2190,2.850242893576828e13,2
2191,2.904534546025606e13,2
2192,2.958289141583659e13,2
2193,3.0139450837957625e13,2
2194,3.072929200961034e13,2
2195,3.136693453199851e13,2
2196,3.094955576495282e13,2
2197,3.0623304605345465e13,2
2198,3.0355726107817375e13,2
2199,3.0096072092578992e13,2
2200,2.9817082657025152e13,2
2201,3.007648127402327e13,2
2202,3.031938789662877e13,2
2203,3.057201270461247e13,2
2204,3.083315687398612e13,2
2205,3.1110133154936824e13,2
2206,3.2050148585614254e13,2
2207,3.306712109089505e13,2
2208,3.419096889753324e13,2
2209,3.543677683336856e13,2
2210,3.679946986424313e13,2
2211,3.696292577539274e13,2
2212,3.712719400839328e13,2
2213,3.727855915566996e13,2
2214,3.741947774915315e13,2
2215,3.754834994858288e13,2
2216,3.709159100948761e13,2
2217,3.666965435654184e13,2
2218,3.6297883672533266e13,2
2219,3.599188723035229e13,2
2220,3.5768511856062516e13,2
2221,3.5923376658446164e13,2
2222,3.614903531014766e13,2
2223,3.639614760099268e13,2
2224,3.6611442506491055e13,2
2225,3.680557743094599e13,2
2226,3.627742132938691e13,2
2227,3.5757836215500445e13,2
2228,3.526456341608101e13,2
2229,3.481489226211345e13,2
2230,3.4438138256027844e13,2
2231,3.542908825989575e13,2
2232,3.652261219237234e13,2
2233,3.771232214435127e13,2
2234,3.898129093425214e13,2
2235,4.0313640132095336e13,2
2236,4.205011356592049e13,2
2237,4.38497217058835e13,2
2238,4.574461259081333e13,2
2239,4.775570759185614e13,2
2240,4.991414760627965e13,2
2241,4.9542847493825086e13,2
2242,4.9277469320050734e13,2
2243,4.906008446327336e13,2
2244,4.8846348330363625e13,2
2245,4.861285505120272e13,2
2246,4.836221310527135e13,2
2247,4.812894442728766e13,2
2248,4.792804602705896e13,2
2249,4.776318455314886e13,2
2250,4.764562313649327e13,2
2251,4.8013102033420055e13,2
2252,4.8433543759352836e13,2
2253,4.893068119080872e13,2
2254,4.9512390901477945e13,2
2255,5.014320097609705e13,2
2256,5.068910400471134e13,2
2257,5.124312537611449e13,2
2258,5.1781248295566875e13,2
2259,5.230651718943486e13,2
2260,5.282064667452812e13,2
2261,5.269314050980784e13,2
2262,5.259672999955259e13,2
2263,5.254788153057929e13,2
2264,5.256830779104475e13,2
2265,5.267975898550458e13,2
2266,5.294864250347711e13,2
2267,5.331658831988694e13,2
2268,5.371392678689639e13,2
2269,5.410382274165682e13,2
2270,5.450706931023036e13,2
2271,5.4260791045282984e13,2
2272,5.40536854327055e13,2
2273,5.39098340293797e13,2
2274,5.386735691949942e13,2
2275,5.394577444342023e13,2
2276,5.566702617060527e13,2
2277,5.7505831224658516e13,2
2278,5.943800017733235e13,2
2279,6.145497508529076e13,2
2280,6.35399512465777e13,2
2281,6.371446545272442e13,2
2282,6.392640412968125e13,2
2283,6.41941566490321e13,2
2284,6.454392847562393e13,2
2285,6.50188439333456e13,2
2286,6.449975189330807e13,2
2287,6.408968203415788e13,2
2288,6.3735514173203914e13,2
2289,6.33780213207461e13,2
2290,6.303451219500231e13,2
2291,6.317403590445245e13,2
2292,6.331802383163638e13,2
2293,6.348948559494264e13,2
2294,6.372451125766731e13,2
2295,6.406922878867735e13,2
2296,6.528209277527804e13,2
2297,6.665363865570599e13,2
2298,6.81425764068263e13,2
2299,6.968620894078897e13,2
2300,7.127520080208567e13,2
