"time","cromar_mortality_damage","trialnum"
1888,NA,1
1889,NA,1
1890,NA,1
1891,NA,1
1892,NA,1
1893,NA,1
1894,NA,1
1895,NA,1
1896,NA,1
1897,NA,1
1898,NA,1
1899,NA,1
1900,NA,1
1901,NA,1
1902,NA,1
1903,NA,1
1904,NA,1
1905,NA,1
1906,NA,1
1907,NA,1
1908,NA,1
1909,NA,1
1910,NA,1
1911,NA,1
1912,NA,1
1913,NA,1
1914,NA,1
1915,NA,1
1916,NA,1
1917,NA,1
1918,NA,1
1919,NA,1
1920,NA,1
1921,NA,1
1922,NA,1
1923,NA,1
1924,NA,1
1925,NA,1
1926,NA,1
1927,NA,1
1928,NA,1
1929,NA,1
1930,NA,1
1931,NA,1
1932,NA,1
1933,NA,1
1934,NA,1
1935,NA,1
1936,NA,1
1937,NA,1
1938,NA,1
1939,NA,1
1940,NA,1
1941,NA,1
1942,NA,1
1943,NA,1
1944,NA,1
1945,NA,1
1946,NA,1
1947,NA,1
1948,NA,1
1949,NA,1
1950,NA,1
1951,NA,1
1952,NA,1
1953,NA,1
1954,NA,1
1955,NA,1
1956,NA,1
1957,NA,1
1958,NA,1
1959,NA,1
1960,NA,1
1961,NA,1
1962,NA,1
1963,NA,1
1964,NA,1
1965,NA,1
1966,NA,1
1967,NA,1
1968,NA,1
1969,NA,1
1970,NA,1
1971,NA,1
1972,NA,1
1973,NA,1
1974,NA,1
1975,NA,1
1976,NA,1
1977,NA,1
1978,NA,1
1979,NA,1
1980,NA,1
1981,NA,1
1982,NA,1
1983,NA,1
1984,NA,1
1985,NA,1
1986,NA,1
1987,NA,1
1988,NA,1
1989,NA,1
1990,NA,1
1991,NA,1
1992,NA,1
1993,NA,1
1994,NA,1
1995,NA,1
1996,NA,1
1997,NA,1
1998,NA,1
1999,NA,1
2000,NA,1
2001,NA,1
2002,NA,1
2003,NA,1
2004,NA,1
2005,NA,1
2006,NA,1
2007,NA,1
2008,NA,1
2009,NA,1
2010,NA,1
2011,NA,1
2012,NA,1
2013,NA,1
2014,NA,1
2015,NA,1
2016,NA,1
2017,NA,1
2018,NA,1
2019,NA,1
2020,5.02931610270344e11,1
2021,5.1281656201798486e11,1
2022,5.23954625204678e11,1
2023,5.3610719349700616e11,1
2024,5.489123065150076e11,1
2025,5.619187941686609e11,1
2026,6.209946234351968e11,1
2027,6.313125819243419e11,1
2028,6.419360330489847e11,1
2029,6.53091256333317e11,1
2030,6.652375990191725e11,1
2031,7.487761340744175e11,1
2032,7.721328228892993e11,1
2033,7.97465783044913e11,1
2034,8.251411154212474e11,1
2035,8.545201005491357e11,1
2036,1.007427995608751e12,1
2037,1.0711221237089713e12,1
2038,1.1389825443996475e12,1
2039,1.2112617368626338e12,1
2040,1.287962290838816e12,1
2041,1.356887228982567e12,1
2042,1.37284597965077e12,1
2043,1.390374958258575e12,1
2044,1.4097883722664983e12,1
2045,1.4317578623477715e12,1
2046,1.6030748096840586e12,1
2047,1.640166170177439e12,1
2048,1.6782077452585706e12,1
2049,1.7158233506501863e12,1
2050,1.752418537119676e12,1
2051,1.839797288616478e12,1
2052,1.8198031815093638e12,1
2053,1.8016315830504539e12,1
2054,1.7859427865552417e12,1
2055,1.7734849842891467e12,1
2056,1.8718742764036077e12,1
2057,1.9098066332982625e12,1
2058,1.9493728336329355e12,1
2059,1.9907827957022473e12,1
2060,2.0332690297924768e12,1
2061,2.0548700043089363e12,1
2062,1.9963940443009346e12,1
2063,1.94348581172801e12,1
2064,1.8962880410710898e12,1
2065,1.8547902362197097e12,1
2066,1.952205822234882e12,1
2067,2.0436854501994395e12,1
2068,2.1445556542462344e12,1
2069,2.2544925002245093e12,1
2070,2.3735219541414907e12,1
2071,2.404404690514115e12,1
2072,2.34829210422953e12,1
2073,2.2948215103671714e12,1
2074,2.2438661823012505e12,1
2075,2.1954928288319224e12,1
2076,2.2014783140117065e12,1
2077,2.1582603074650708e12,1
2078,2.1198299414515454e12,1
2079,2.0860431256902576e12,1
2080,2.056281416472282e12,1
2081,2.0486681272694727e12,1
2082,2.0939063105899968e12,1
2083,2.1415243513076074e12,1
2084,2.191779753752283e12,1
2085,2.2447755625010117e12,1
2086,2.293546953977104e12,1
2087,2.3502357251239106e12,1
2088,2.4104906920157534e12,1
2089,2.4748990814011924e12,1
2090,2.5442069136390776e12,1
2091,2.5956772104969385e12,1
2092,2.632718771119406e12,1
2093,2.671802658538182e12,1
2094,2.7116452028312026e12,1
2095,2.7527580380110415e12,1
2096,2.764766051744491e12,1
2097,2.7544013796246978e12,1
2098,2.7500558569747803e12,1
2099,2.752402631896294e12,1
2100,2.762339650616709e12,1
2101,2.784802105394489e12,1
2102,2.756366559930182e12,1
2103,2.731351495887144e12,1
2104,2.7092927882887007e12,1
2105,2.689294831180228e12,1
2106,2.6098913454860537e12,1
2107,2.5457855556293867e12,1
2108,2.48515502609904e12,1
2109,2.4285607506605815e12,1
2110,2.376574032155934e12,1
2111,2.339510001485071e12,1
2112,2.3239913744514766e12,1
2113,2.309605957186298e12,1
2114,2.29524353933617e12,1
2115,2.281135604439707e12,1
2116,2.256945631496004e12,1
2117,2.260545237702522e12,1
2118,2.2694315789392334e12,1
2119,2.284365339911143e12,1
2120,2.306744026533302e12,1
2121,2.3165652551816743e12,1
2122,2.3456249551224414e12,1
2123,2.37752319238903e12,1
2124,2.4115324009781826e12,1
2125,2.447749891763567e12,1
2126,2.4514845191643447e12,1
2127,2.461690083570226e12,1
2128,2.4733949098586753e12,1
2129,2.4873180160880376e12,1
2130,2.5046772502649077e12,1
2131,2.4158592129743975e12,1
2132,2.3724131463441963e12,1
2133,2.332517732011748e12,1
2134,2.2950409789818755e12,1
2135,2.2589255893846914e12,1
2136,2.206289957428849e12,1
2137,2.1804344528573562e12,1
2138,2.1562947414349807e12,1
2139,2.1339257048142434e12,1
2140,2.113634678736171e12,1
2141,2.074805679084753e12,1
2142,2.0669572632723198e12,1
2143,2.0616284234354812e12,1
2144,2.058014912956859e12,1
2145,2.0558709794560872e12,1
2146,2.0629838352831453e12,1
2147,2.0893534034980527e12,1
2148,2.1172961843614927e12,1
2149,2.1468344514413772e12,1
2150,2.1785019874808818e12,1
2151,2.204642749791188e12,1
2152,2.24162741279612e12,1
2153,2.282685016636508e12,1
2154,2.327581070922835e12,1
2155,2.3743556929200654e12,1
2156,2.4230538833759946e12,1
2157,2.4548866132930244e12,1
2158,2.491943768316597e12,1
2159,2.5350262279856177e12,1
2160,2.585536159897968e12,1
2161,2.5638345341783076e12,1
2162,2.52804867310336e12,1
2163,2.4980067041297505e12,1
2164,2.473304527235536e12,1
2165,2.4508754339660273e12,1
2166,2.4701795987834424e12,1
2167,2.575957339364979e12,1
2168,2.686251272277622e12,1
2169,2.803002399393167e12,1
2170,2.927830962521661e12,1
2171,2.9585514035142964e12,1
2172,2.994479145402472e12,1
2173,3.039182951039392e12,1
2174,3.0927379989897007e12,1
2175,3.1544060777832563e12,1
2176,3.304651411258114e12,1
2177,3.387124047410833e12,1
2178,3.471798867531779e12,1
2179,3.5598169107567935e12,1
2180,3.6523005783687344e12,1
2181,3.7260925989191064e12,1
2182,3.795634914913934e12,1
2183,3.8701255636896875e12,1
2184,3.9504129486140444e12,1
2185,4.037586118699987e12,1
2186,4.1222355863140874e12,1
2187,4.172794000313506e12,1
2188,4.227761205862952e12,1
2189,4.287565252655801e12,1
2190,4.350150379986946e12,1
2191,4.531321740347403e12,1
2192,4.698153257513802e12,1
2193,4.874305762356143e12,1
2194,5.061222038731039e12,1
2195,5.2604585188871045e12,1
2196,5.197054491779357e12,1
2197,5.21906161672179e12,1
2198,5.254122668275128e12,1
2199,5.298638985601628e12,1
2200,5.350935542870535e12,1
2201,5.523506422607078e12,1
2202,5.592365976756703e12,1
2203,5.673921701371613e12,1
2204,5.768541182805717e12,1
2205,5.877498545499253e12,1
2206,5.955205941743876e12,1
2207,6.020276619155069e12,1
2208,6.092668150385247e12,1
2209,6.172841035063328e12,1
2210,6.259565227955706e12,1
2211,6.477417638325807e12,1
2212,6.61961525001311e12,1
2213,6.768861772904468e12,1
2214,6.925851685762347e12,1
2215,7.090816088712757e12,1
2216,6.947799392186894e12,1
2217,6.834703384078204e12,1
2218,6.732159254621786e12,1
2219,6.641133240689925e12,1
2220,6.562661895655466e12,1
2221,6.694213063088457e12,1
2222,6.839972013822502e12,1
2223,6.99456883115702e12,1
2224,7.153657596935694e12,1
2225,7.318949219577836e12,1
2226,7.202685423788943e12,1
2227,7.152744605144352e12,1
2228,7.112430835803345e12,1
2229,7.083251893700606e12,1
2230,7.067946361307127e12,1
2231,6.990958142883937e12,1
2232,6.87316612266209e12,1
2233,6.768734492970425e12,1
2234,6.675320491695544e12,1
2235,6.591169484635976e12,1
2236,6.602486576103063e12,1
2237,6.644290246584827e12,1
2238,6.696401470831983e12,1
2239,6.759900425402253e12,1
2240,6.8364196127522e12,1
2241,7.035267468707525e12,1
2242,7.290308986725873e12,1
2243,7.571942935107645e12,1
2244,7.880361751523592e12,1
2245,8.217809877871726e12,1
2246,8.526038070813433e12,1
2247,8.572180389674469e12,1
2248,8.634056275085634e12,1
2249,8.711385571779228e12,1
2250,8.804777708976549e12,1
2251,8.73922140307858e12,1
2252,8.832421864596023e12,1
2253,8.954966285169012e12,1
2254,9.108329052488492e12,1
2255,9.289982361460236e12,1
2256,9.306416536842416e12,1
2257,9.760581306950125e12,1
2258,1.024394962188502e13,1
2259,1.0759819817891594e13,1
2260,1.1311561260590107e13,1
2261,1.1364575176817508e13,1
2262,1.156205380678224e13,1
2263,1.1774049958171691e13,1
2264,1.2003639089942275e13,1
2265,1.2254053186835143e13,1
2266,1.2470378889254002e13,1
2267,1.2501550312605533e13,1
2268,1.2540252009677e13,1
2269,1.2582625519846008e13,1
2270,1.2632173398307152e13,1
2271,1.386671466281625e13,1
2272,1.4339061355559762e13,1
2273,1.48547589212875e13,1
2274,1.5421937537564652e13,1
2275,1.6046487879077133e13,1
2276,1.6030699815745617e13,1
2277,1.665039032328044e13,1
2278,1.7300196913609988e13,1
2279,1.7980160570775977e13,1
2280,1.8688961686505473e13,1
2281,1.970640362486836e13,1
2282,2.0508947116224902e13,1
2283,2.138263981370849e13,1
2284,2.2337665795452504e13,1
2285,2.338870414313843e13,1
2286,2.464127970005684e13,1
2287,2.550398015878423e13,1
2288,2.6407234240892215e13,1
2289,2.733891933993455e13,1
2290,2.8305770723735113e13,1
2291,2.7504122777759273e13,1
2292,2.697450985578946e13,1
2293,2.652293754415308e13,1
2294,2.615587708297298e13,1
2295,2.5881680842971043e13,1
2296,2.544117199472085e13,1
2297,2.5378797056929504e13,1
2298,2.537041696351574e13,1
2299,2.5402913726545727e13,1
2300,2.5476573547937504e13,1
1750,NA,2
1751,NA,2
1752,NA,2
1753,NA,2
1754,NA,2
1755,NA,2
1756,NA,2
1757,NA,2
1758,NA,2
1759,NA,2
1760,NA,2
1761,NA,2
1762,NA,2
1763,NA,2
1764,NA,2
1765,NA,2
1766,NA,2
1767,NA,2
1768,NA,2
1769,NA,2
1770,NA,2
1771,NA,2
1772,NA,2
1773,NA,2
1774,NA,2
1775,NA,2
1776,NA,2
1777,NA,2
1778,NA,2
1779,NA,2
1780,NA,2
1781,NA,2
1782,NA,2
1783,NA,2
1784,NA,2
1785,NA,2
1786,NA,2
1787,NA,2
1788,NA,2
1789,NA,2
1790,NA,2
1791,NA,2
1792,NA,2
1793,NA,2
1794,NA,2
1795,NA,2
1796,NA,2
1797,NA,2
1798,NA,2
1799,NA,2
1800,NA,2
1801,NA,2
1802,NA,2
1803,NA,2
1804,NA,2
1805,NA,2
1806,NA,2
1807,NA,2
1808,NA,2
1809,NA,2
1810,NA,2
1811,NA,2
1812,NA,2
1813,NA,2
1814,NA,2
1815,NA,2
1816,NA,2
1817,NA,2
1818,NA,2
1819,NA,2
1820,NA,2
1821,NA,2
1822,NA,2
1823,NA,2
1824,NA,2
1825,NA,2
1826,NA,2
1827,NA,2
1828,NA,2
1829,NA,2
1830,NA,2
1831,NA,2
1832,NA,2
1833,NA,2
1834,NA,2
1835,NA,2
1836,NA,2
1837,NA,2
1838,NA,2
1839,NA,2
1840,NA,2
1841,NA,2
1842,NA,2
1843,NA,2
1844,NA,2
1845,NA,2
1846,NA,2
1847,NA,2
1848,NA,2
1849,NA,2
1850,NA,2
1851,NA,2
1852,NA,2
1853,NA,2
1854,NA,2
1855,NA,2
1856,NA,2
1857,NA,2
1858,NA,2
1859,NA,2
1860,NA,2
1861,NA,2
1862,NA,2
1863,NA,2
1864,NA,2
1865,NA,2
1866,NA,2
1867,NA,2
1868,NA,2
1869,NA,2
1870,NA,2
1871,NA,2
1872,NA,2
1873,NA,2
1874,NA,2
1875,NA,2
1876,NA,2
1877,NA,2
1878,NA,2
1879,NA,2
1880,NA,2
1881,NA,2
1882,NA,2
1883,NA,2
1884,NA,2
1885,NA,2
1886,NA,2
1887,NA,2
1888,NA,2
1889,NA,2
1890,NA,2
1891,NA,2
1892,NA,2
1893,NA,2
1894,NA,2
1895,NA,2
1896,NA,2
1897,NA,2
1898,NA,2
1899,NA,2
1900,NA,2
1901,NA,2
1902,NA,2
1903,NA,2
1904,NA,2
1905,NA,2
1906,NA,2
1907,NA,2
1908,NA,2
1909,NA,2
1910,NA,2
1911,NA,2
1912,NA,2
1913,NA,2
1914,NA,2
1915,NA,2
1916,NA,2
1917,NA,2
1918,NA,2
1919,NA,2
1920,NA,2
1921,NA,2
1922,NA,2
1923,NA,2
1924,NA,2
1925,NA,2
1926,NA,2
1927,NA,2
1928,NA,2
1929,NA,2
1930,NA,2
1931,NA,2
1932,NA,2
1933,NA,2
1934,NA,2
1935,NA,2
1936,NA,2
1937,NA,2
1938,NA,2
1939,NA,2
1940,NA,2
1941,NA,2
1942,NA,2
1943,NA,2
1944,NA,2
1945,NA,2
1946,NA,2
1947,NA,2
1948,NA,2
1949,NA,2
1950,NA,2
1951,NA,2
1952,NA,2
1953,NA,2
1954,NA,2
1955,NA,2
1956,NA,2
1957,NA,2
1958,NA,2
1959,NA,2
1960,NA,2
1961,NA,2
1962,NA,2
1963,NA,2
1964,NA,2
1965,NA,2
1966,NA,2
1967,NA,2
1968,NA,2
1969,NA,2
1970,NA,2
1971,NA,2
1972,NA,2
1973,NA,2
1974,NA,2
1975,NA,2
1976,NA,2
1977,NA,2
1978,NA,2
1979,NA,2
1980,NA,2
1981,NA,2
1982,NA,2
1983,NA,2
1984,NA,2
1985,NA,2
1986,NA,2
1987,NA,2
1988,NA,2
1989,NA,2
1990,NA,2
1991,NA,2
1992,NA,2
1993,NA,2
1994,NA,2
1995,NA,2
1996,NA,2
1997,NA,2
1998,NA,2
1999,NA,2
2000,NA,2
2001,NA,2
2002,NA,2
2003,NA,2
2004,NA,2
2005,NA,2
2006,NA,2
2007,NA,2
2008,NA,2
2009,NA,2
2010,NA,2
2011,NA,2
2012,NA,2
2013,NA,2
2014,NA,2
2015,NA,2
2016,NA,2
2017,NA,2
2018,NA,2
2019,NA,2
2020,1.1121068015386807e12,2
2021,1.1747082586370288e12,2
2022,1.2422172351414163e12,2
2023,1.3146390959552156e12,2
2024,1.39154974938203e12,2
2025,1.4721423784472346e12,2
2026,1.6735956648290732e12,2
2027,1.7518533923086086e12,2
2028,1.8370309735968958e12,2
2029,1.9310291091709521e12,2
2030,2.0367607585625325e12,2
2031,2.1643345291984797e12,2
2032,2.1349362359907114e12,2
2033,2.1122239090620134e12,2
2034,2.0968168211932236e12,2
2035,2.0866455853363389e12,2
2036,2.386336415669442e12,2
2037,2.4735181037686934e12,2
2038,2.5659683307356387e12,2
2039,2.6638946627069287e12,2
2040,2.7668609502626895e12,2
2041,3.1043188263990825e12,2
2042,3.2383237748960483e12,2
2043,3.381950424334906e12,2
2044,3.536768905825403e12,2
2045,3.7054801611338022e12,2
2046,4.0507967299861074e12,2
2047,4.156660503540533e12,2
2048,4.2685221760550244e12,2
2049,4.3827411526611724e12,2
2050,4.497581061285632e12,2
2051,5.16348894432912e12,2
2052,5.492973018265977e12,2
2053,5.848972066859716e12,2
2054,6.236675813115018e12,2
2055,6.662816465963395e12,2
2056,7.359925964318224e12,2
2057,7.7236319483354e12,2
2058,8.114564796268441e12,2
2059,8.535373108760143e12,2
2060,8.984453044375848e12,2
2061,9.550938745492332e12,2
2062,9.903635294652154e12,2
2063,1.028608728883604e13,2
2064,1.0702814843120635e13,2
2065,1.1158099430270607e13,2
2066,1.1457619595269973e13,2
2067,1.1625579774106135e13,2
2068,1.1854032033863252e13,2
2069,1.2134403874978504e13,2
2070,1.2460828293893414e13,2
2071,1.3104074219632771e13,2
2072,1.3521400848444033e13,2
2073,1.3968879979382873e13,2
2074,1.444865193665879e13,2
2075,1.4964145188993518e13,2
2076,1.5466721561482023e13,2
2077,1.577591513959607e13,2
2078,1.6122999738284006e13,2
2079,1.651046478955025e13,2
2080,1.6936610097440865e13,2
2081,1.7451852808576957e13,2
2082,1.79955106234045e13,2
2083,1.8574874059873906e13,2
2084,1.9195128855351523e13,2
2085,1.9861064691750004e13,2
2086,1.98383531647117e13,2
2087,1.973694994311687e13,2
2088,1.966239371667336e13,2
2089,1.9618412321214016e13,2
2090,1.960979835198994e13,2
2091,2.0170409100736586e13,2
2092,2.100837266313866e13,2
2093,2.1930805243562527e13,2
2094,2.2933385390628973e13,2
2095,2.402739072799326e13,2
2096,2.478131626296981e13,2
2097,2.5202704873706344e13,2
2098,2.568419526347727e13,2
2099,2.6236199933252375e13,2
2100,2.687263163787671e13,2
2101,2.81167049183933e13,2
2102,2.9064509669544918e13,2
2103,3.007960043196258e13,2
2104,3.1156289227236332e13,2
2105,3.228400400017055e13,2
2106,3.3906422091646402e13,2
2107,3.457380813346028e13,2
2108,3.52946087052985e13,2
2109,3.608088938368431e13,2
2110,3.6947599936378945e13,2
2111,3.657120688116904e13,2
2112,3.628546318559472e13,2
2113,3.602766810537391e13,2
2114,3.578114726800512e13,2
2115,3.554777038268825e13,2
2116,3.4854539428027594e13,2
2117,3.425386921947478e13,2
2118,3.3694237994637477e13,2
2119,3.318089499441136e13,2
2120,3.2726817097611145e13,2
2121,3.3679622334191684e13,2
2122,3.4476797046942406e13,2
2123,3.533688031385113e13,2
2124,3.624799726370651e13,2
2125,3.7210951360485875e13,2
2126,3.810955215361132e13,2
2127,3.931107878787167e13,2
2128,4.058769560012664e13,2
2129,4.195632823441908e13,2
2130,4.344462256910766e13,2
2131,4.442682440475255e13,2
2132,4.448749839042914e13,2
2133,4.461869877175515e13,2
2134,4.4801017937409914e13,2
2135,4.501354945036114e13,2
2136,4.547770789937365e13,2
2137,4.593633436416686e13,2
2138,4.6477209159059055e13,2
2139,4.7111189876589305e13,2
2140,4.785572701872896e13,2
2141,5.0304973944089055e13,2
2142,5.2392389984401984e13,2
2143,5.463301409058702e13,2
2144,5.702044784127493e13,2
2145,5.956090983599361e13,2
2146,6.084698554615838e13,2
2147,6.220420355081792e13,2
2148,6.3732335532235516e13,2
2149,6.544956954050641e13,2
2150,6.739264977058457e13,2
2151,6.619715746203642e13,2
2152,6.547112498619846e13,2
2153,6.491870814592101e13,2
2154,6.452604970913651e13,2
2155,6.423392321708898e13,2
2156,6.3696183056667164e13,2
2157,6.372662523365996e13,2
2158,6.38056216256918e13,2
2159,6.394266074147022e13,2
2160,6.416221563705535e13,2
2161,6.668508206498549e13,2
2162,6.868409519568406e13,2
2163,7.100727615814548e13,2
2164,7.368613822842878e13,2
2165,7.667421548850581e13,2
2166,7.983838101908334e13,2
2167,8.391677835699508e13,2
2168,8.827697231328872e13,2
2169,9.299237656224356e13,2
2170,9.813289200762395e13,2
2171,9.800700053441531e13,2
2172,9.83624981312325e13,2
2173,9.888825789998111e13,2
2174,9.957404501703238e13,2
2175,1.0037879862090367e14,2
2176,9.689974536617225e13,2
2177,9.335370717585412e13,2
2178,9.046891881830981e13,2
2179,8.816812145615561e13,2
2180,8.639119256271639e13,2
2181,8.606733074383225e13,2
2182,8.587179076674081e13,2
2183,8.58121189350587e13,2
2184,8.590140674822022e13,2
2185,8.615744864167138e13,2
2186,8.897909978173622e13,2
2187,8.871964278102784e13,2
2188,8.865441238176344e13,2
2189,8.878943148307328e13,2
2190,8.908423471062547e13,2
2191,9.14330127583806e13,2
2192,9.323477486490434e13,2
2193,9.514279456146936e13,2
2194,9.718187979469319e13,2
2195,9.937799545076784e13,2
2196,9.91930783919201e13,2
2197,9.80783014550809e13,2
2198,9.716117846793512e13,2
2199,9.636796480761627e13,2
2200,9.565702136509972e13,2
2201,9.600231023561822e13,2
2202,9.674683763989745e13,2
2203,9.756088616876645e13,2
2204,9.844395886136328e13,2
2205,9.940786769836077e13,2
2206,1.0009180520050934e14,2
2207,1.038232890898324e14,2
2208,1.0805438862377861e14,2
2209,1.1286863949807223e14,2
2210,1.1833377308537461e14,2
2211,1.1773977357337433e14,2
2212,1.1661834475839792e14,2
2213,1.1558626906751933e14,2
2214,1.1464558446275869e14,2
2215,1.1379263293112702e14,2
2216,1.1379974226674977e14,2
2217,1.112578987721934e14,2
2218,1.0894938499914092e14,2
2219,1.0688362832561408e14,2
2220,1.050719790045654e14,2
2221,1.0529807266799592e14,2
2222,1.059133781143575e14,2
2223,1.0671132522436612e14,2
2224,1.0761876970730334e14,2
2225,1.0865193399962708e14,2
2226,1.0595465752422542e14,2
2227,1.044087986891456e14,2
2228,1.0300753419882925e14,2
2229,1.0177266033931177e14,2
2230,1.00743834705155e14,2
2231,1.033055794179216e14,2
2232,1.0763437703998705e14,2
2233,1.1237927531967284e14,2
2234,1.1753993118300939e14,2
2235,1.2311888776998889e14,2
2236,1.278750105670729e14,2
2237,1.3468567085407316e14,2
2238,1.4194591620367538e14,2
2239,1.497118596317561e14,2
2240,1.5805863378178125e14,2
2241,1.5898210403939953e14,2
2242,1.563831730265709e14,2
2243,1.539656628855709e14,2
2244,1.5165573864427425e14,2
2245,1.4941379764090688e14,2
2246,1.4991676384888e14,2
2247,1.4851730182155412e14,2
2248,1.473765761027921e14,2
2249,1.4649008630115122e14,2
2250,1.4586588561323428e14,2
2251,1.4476965198996378e14,2
2252,1.4440937741926612e14,2
2253,1.44306065428126e14,2
2254,1.4447281262847556e14,2
2255,1.4486021668011103e14,2
2256,1.478020804466477e14,2
2257,1.4922786595827084e14,2
2258,1.5076941085670747e14,2
2259,1.5243701286579047e14,2
2260,1.5423939735163662e14,2
2261,1.5187656527298097e14,2
2262,1.5225163696420903e14,2
2263,1.5279505233485456e14,2
2264,1.535422933580529e14,2
2265,1.5453026568592334e14,2
2266,1.5173387008158134e14,2
2267,1.5303327801179734e14,2
2268,1.5455402026662622e14,2
2269,1.562427767162882e14,2
2270,1.581338708838747e14,2
2271,1.5920606240039712e14,2
2272,1.5685238196215066e14,2
2273,1.547685849636366e14,2
2274,1.5300733040275522e14,2
2275,1.515926787331181e14,2
2276,1.5598006469765125e14,2
2277,1.6091758758708222e14,2
2278,1.6636964754654328e14,2
2279,1.7234753181018153e14,2
2280,1.788535409848122e14,2
2281,1.8135410220010688e14,2
2282,1.8180048280601794e14,2
2283,1.8239780301525497e14,2
2284,1.8318958874340784e14,2
2285,1.842457784423811e14,2
2286,1.843220723693022e14,2
2287,1.8044335765823553e14,2
2288,1.7695502538438538e14,2
2289,1.7375752824627938e14,2
2290,1.7087008399470628e14,2
2291,1.758450175418854e14,2
2292,1.7665887875704016e14,2
2293,1.7761104844857194e14,2
2294,1.787605160505698e14,2
2295,1.8018330302323206e14,2
2296,1.8721401222750372e14,2
2297,1.926167543376144e14,2
2298,1.9848128087611188e14,2
2299,2.047298170744946e14,2
2300,2.1137053234574688e14,2
