"time","co2_emissions","trialnum"
1888,NA,1
1889,NA,1
1890,NA,1
1891,NA,1
1892,NA,1
1893,NA,1
1894,NA,1
1895,NA,1
1896,NA,1
1897,NA,1
1898,NA,1
1899,NA,1
1900,NA,1
1901,NA,1
1902,NA,1
1903,NA,1
1904,NA,1
1905,NA,1
1906,NA,1
1907,NA,1
1908,NA,1
1909,NA,1
1910,NA,1
1911,NA,1
1912,NA,1
1913,NA,1
1914,NA,1
1915,NA,1
1916,NA,1
1917,NA,1
1918,NA,1
1919,NA,1
1920,NA,1
1921,NA,1
1922,NA,1
1923,NA,1
1924,NA,1
1925,NA,1
1926,NA,1
1927,NA,1
1928,NA,1
1929,NA,1
1930,NA,1
1931,NA,1
1932,NA,1
1933,NA,1
1934,NA,1
1935,NA,1
1936,NA,1
1937,NA,1
1938,NA,1
1939,NA,1
1940,NA,1
1941,NA,1
1942,NA,1
1943,NA,1
1944,NA,1
1945,NA,1
1946,NA,1
1947,NA,1
1948,NA,1
1949,NA,1
1950,NA,1
1951,NA,1
1952,NA,1
1953,NA,1
1954,NA,1
1955,NA,1
1956,NA,1
1957,NA,1
1958,NA,1
1959,NA,1
1960,NA,1
1961,NA,1
1962,NA,1
1963,NA,1
1964,NA,1
1965,NA,1
1966,NA,1
1967,NA,1
1968,NA,1
1969,NA,1
1970,NA,1
1971,NA,1
1972,NA,1
1973,NA,1
1974,NA,1
1975,NA,1
1976,NA,1
1977,NA,1
1978,NA,1
1979,NA,1
1980,NA,1
1981,NA,1
1982,NA,1
1983,NA,1
1984,NA,1
1985,NA,1
1986,NA,1
1987,NA,1
1988,NA,1
1989,NA,1
1990,NA,1
1991,NA,1
1992,NA,1
1993,NA,1
1994,NA,1
1995,NA,1
1996,NA,1
1997,NA,1
1998,NA,1
1999,NA,1
2000,NA,1
2001,NA,1
2002,NA,1
2003,NA,1
2004,NA,1
2005,NA,1
2006,NA,1
2007,NA,1
2008,NA,1
2009,NA,1
2010,NA,1
2011,NA,1
2012,NA,1
2013,NA,1
2014,NA,1
2015,NA,1
2016,NA,1
2017,NA,1
2018,NA,1
2019,NA,1
2020,11.08317107,1
2021,11.200118731857176,1
2022,11.312457354275011,1
2023,11.420196004515905,1
2024,11.5233437498273,1
2025,11.621909657485736,1
2026,11.714623234165684,1
2027,11.802773107723953,1
2028,11.88636834540072,1
2029,11.965418014479807,1
2030,12.039931182208669,1
2031,12.12258724467224,1
2032,12.200724940316857,1
2033,12.274353336404518,1
2034,12.343481500182664,1
2035,12.408118498942406,1
2036,12.48932968130504,1
2037,12.566067833144158,1
2038,12.638342021750868,1
2039,12.706161314350789,1
2040,12.76953477824957,1
2041,12.786520510021516,1
2042,12.799078547601765,1
2043,12.8072179582305,1
2044,12.810947809198815,1
2045,12.81027716773962,1
2046,12.804570081849755,1
2047,12.794480638070914,1
2048,12.78001790366511,1
2049,12.761190945894326,1
2050,12.738008832022398,1
2051,12.711539043137286,1
2052,12.68086455668173,1
2053,12.646116860864066,1
2054,12.607427443530682,1
2055,12.564927792818969,1
2056,12.510509460971704,1
2057,12.452543871788116,1
2058,12.39116251299816,1
2059,12.32649687262284,1
2060,12.258678438857778,1
2061,12.148678336780383,1
2062,12.03578841735524,1
2063,11.920140168254092,1
2064,11.80186507767257,1
2065,11.681094633398835,1
2066,11.657758449417551,1
2067,11.632189887902468,1
2068,11.604520436583538,1
2069,11.57488158388922,1
2070,11.54340481743306,1
2071,11.41300020394224,1
2072,11.281020652847983,1
2073,11.147597651938456,1
2074,11.012862689292866,1
2075,10.876947253048629,1
2076,10.776710658173345,1
2077,10.675556565508568,1
2078,10.5736164630171,1
2079,10.47102183877814,1
2080,10.36790418063806,1
2081,10.28669582757864,1
2082,10.20522741636906,1
2083,10.123630435379564,1
2084,10.04203637251473,1
2085,9.960576715795558,1
2086,9.893500887681878,1
2087,9.826822441872268,1
2088,9.760672865980268,1
2089,9.695183648259714,1
2090,9.630486276498775,1
2091,9.551297987501762,1
2092,9.47316452050636,1
2093,9.396217363591765,1
2094,9.320588004604351,1
2095,9.246407931623336,1
2096,9.173039731322271,1
2097,9.101383793069594,1
2098,9.031571604769884,1
2099,8.963734654327727,1
2100,8.898004429738394,1
2101,8.804847070189117,1
2102,8.712636223416451,1
2103,8.621360422769742,1
2104,8.53100820164539,1
2105,8.441568093388836,1
2106,8.350277866207,1
2107,8.259876818649369,1
2108,8.170353484105062,1
2109,8.081696395912259,1
2110,7.993894087481911,1
2111,7.938084375863186,1
2112,7.883106510748762,1
2113,7.828949025498643,1
2114,7.775600453487398,1
2115,7.723049328067757,1
2116,7.686800784832444,1
2117,7.651326754952416,1
2118,7.616615771809508,1
2119,7.582656368749179,1
2120,7.549437079167815,1
2121,7.503603480126047,1
2122,7.458487061312374,1
2123,7.414076356072252,1
2124,7.370359897809349,1
2125,7.327326219861847,1
2126,7.290872177015851,1
2127,7.255077981234381,1
2128,7.219932165913827,1
2129,7.185423264421475,1
2130,7.1515398101100605,1
2131,7.1101605691832095,1
2132,7.069383842200969,1
2133,7.029198162537906,1
2134,6.98959206355403,1
2135,6.9505540786384525,1
2136,6.918237437256181,1
2137,6.886465976669504,1
2138,6.855228230274815,1
2139,6.824512731432128,1
2140,6.79430801350872,1
2141,6.766687243768596,1
2142,6.739554321696879,1
2143,6.71289778066086,1
2144,6.686706154042376,1
2145,6.660967975208713,1
2146,6.641952158233863,1
2147,6.623366855785683,1
2148,6.605200601260563,1
2149,6.587441927989408,1
2150,6.570079369374347,1
2151,6.553163129050671,1
2152,6.536220925148732,1
2153,6.519252200961774,1
2154,6.502256399781044,1
2155,6.4852329649000575,1
2156,6.473007304015495,1
2157,6.460752896015211,1
2158,6.448469184192498,1
2159,6.436155611839964,1
2160,6.423811622250217,1
2161,6.395495091983805,1
2162,6.367147031065396,1
2163,6.338766882787373,1
2164,6.310354090442574,1
2165,6.2819080973233765,1
2166,6.26756022229188,1
2167,6.2531780330712,1
2168,6.238760972954181,1
2169,6.224308485232746,1
2170,6.2098200132006385,1
2171,6.191086797551574,1
2172,6.17231648417751,1
2173,6.153508516369693,1
2174,6.134662337421186,1
2175,6.11577739062414,1
2176,6.098723682807093,1
2177,6.081630093726498,1
2178,6.0644960666758765,1
2179,6.047321044946927,1
2180,6.030104471833163,1
2181,6.011473023630821,1
2182,5.9927989106282,1
2183,5.974081576118368,1
2184,5.955320463393478,1
2185,5.936515015746365,1
2186,5.919736740207303,1
2187,5.902913016331234,1
2188,5.8860432874100885,1
2189,5.86912699673761,1
2190,5.8521635876059515,1
2191,5.838250676800107,1
2192,5.824289534119846,1
2193,5.810279602858233,1
2194,5.796220326308103,1
2195,5.782111147761836,1
2196,5.7575110183120595,1
2197,5.732859873451365,1
2198,5.708157156472816,1
2199,5.683402310667657,1
2200,5.658594779330189,1
2201,5.630873527798787,1
2202,5.603474825513022,1
2203,5.576393300154898,1
2204,5.549623579397414,1
2205,5.523160290931768,1
2206,5.499528214498245,1
2207,5.476191825709844,1
2208,5.4531457522650335,1
2209,5.430384621836819,1
2210,5.407903062101843,1
2211,5.389433554984198,1
2212,5.37123287393127,1
2213,5.35329564661969,1
2214,5.335616500740665,1
2215,5.318190063970825,1
2216,5.291865305659947,1
2217,5.265782511829732,1
2218,5.239936310153189,1
2219,5.214321328306957,1
2220,5.188932193993143,1
2221,5.1710011020481375,1
2222,5.153285112977921,1
2223,5.135778854480964,1
2224,5.118476954233911,1
2225,5.101374039913402,1
2226,5.077409650641142,1
2227,5.053633502655986,1
2228,5.030040223652767,1
2229,5.006624441315406,1
2230,4.983380783305989,1
2231,4.9602964115505,1
2232,4.937373419501709,1
2233,4.914606434836255,1
2234,4.891990085241696,1
2235,4.8695189983983145,1
2236,4.851783566213268,1
2237,4.834182652143596,1
2238,4.816710883876853,1
2239,4.799362889082408,1
2240,4.78213329545509,1
2241,4.769965800362643,1
2242,4.757905961786971,1
2243,4.745948407426544,1
2244,4.734087764954367,1
2245,4.72231866205072,1
2246,4.705139320901649,1
2247,4.688040774692581,1
2248,4.671017651092885,1
2249,4.654064577801028,1
2250,4.637176182490018,1
2251,4.621604366891974,1
2252,4.606086484646246,1
2253,4.5906171634258435,1
2254,4.575191030911045,1
2255,4.559802714796682,1
2256,4.549095750598129,1
2257,4.538415858160574,1
2258,4.52775766515702,1
2259,4.5171157992677475,1
2260,4.506484888194864,1
2261,4.49291570832281,1
2262,4.479346738613156,1
2263,4.465772606753454,1
2264,4.452187940427626,1
2265,4.43858736731231,1
2266,4.42380416446213,1
2267,4.408994310197576,1
2268,4.394152432184379,1
2269,4.379273158113728,1
2270,4.364351115665908,1
2271,4.3537622355809695,1
2272,4.3431198424830555,1
2273,4.3324185640524515,1
2274,4.321653027969436,1
2275,4.310817861925203,1
2276,4.299221399501066,1
2277,4.28754456246536,1
2278,4.275781978509277,1
2279,4.263928275320374,1
2280,4.251978080564379,1
2281,4.23953546416959,1
2282,4.226985611575545,1
2283,4.214323150469799,1
2284,4.201542708536273,1
2285,4.188638913462521,1
2286,4.177532690946537,1
2287,4.1662923706508845,1
2288,4.154912580259488,1
2289,4.143387947448986,1
2290,4.131713099899661,1
2291,4.110602635673688,1
2292,4.0893312120840015,1
2293,4.067893456799975,1
2294,4.046283997505517,1
2295,4.02449746188819,1
2296,4.003869283531275,1
2297,3.9830532842047734,1
2298,3.962044091603517,1
2299,3.940836333403714,1
2300,3.920846747084007,1
1750,NA,2
1751,NA,2
1752,NA,2
1753,NA,2
1754,NA,2
1755,NA,2
1756,NA,2
1757,NA,2
1758,NA,2
1759,NA,2
1760,NA,2
1761,NA,2
1762,NA,2
1763,NA,2
1764,NA,2
1765,NA,2
1766,NA,2
1767,NA,2
1768,NA,2
1769,NA,2
1770,NA,2
1771,NA,2
1772,NA,2
1773,NA,2
1774,NA,2
1775,NA,2
1776,NA,2
1777,NA,2
1778,NA,2
1779,NA,2
1780,NA,2
1781,NA,2
1782,NA,2
1783,NA,2
1784,NA,2
1785,NA,2
1786,NA,2
1787,NA,2
1788,NA,2
1789,NA,2
1790,NA,2
1791,NA,2
1792,NA,2
1793,NA,2
1794,NA,2
1795,NA,2
1796,NA,2
1797,NA,2
1798,NA,2
1799,NA,2
1800,NA,2
1801,NA,2
1802,NA,2
1803,NA,2
1804,NA,2
1805,NA,2
1806,NA,2
1807,NA,2
1808,NA,2
1809,NA,2
1810,NA,2
1811,NA,2
1812,NA,2
1813,NA,2
1814,NA,2
1815,NA,2
1816,NA,2
1817,NA,2
1818,NA,2
1819,NA,2
1820,NA,2
1821,NA,2
1822,NA,2
1823,NA,2
1824,NA,2
1825,NA,2
1826,NA,2
1827,NA,2
1828,NA,2
1829,NA,2
1830,NA,2
1831,NA,2
1832,NA,2
1833,NA,2
1834,NA,2
1835,NA,2
1836,NA,2
1837,NA,2
1838,NA,2
1839,NA,2
1840,NA,2
1841,NA,2
1842,NA,2
1843,NA,2
1844,NA,2
1845,NA,2
1846,NA,2
1847,NA,2
1848,NA,2
1849,NA,2
1850,NA,2
1851,NA,2
1852,NA,2
1853,NA,2
1854,NA,2
1855,NA,2
1856,NA,2
1857,NA,2
1858,NA,2
1859,NA,2
1860,NA,2
1861,NA,2
1862,NA,2
1863,NA,2
1864,NA,2
1865,NA,2
1866,NA,2
1867,NA,2
1868,NA,2
1869,NA,2
1870,NA,2
1871,NA,2
1872,NA,2
1873,NA,2
1874,NA,2
1875,NA,2
1876,NA,2
1877,NA,2
1878,NA,2
1879,NA,2
1880,NA,2
1881,NA,2
1882,NA,2
1883,NA,2
1884,NA,2
1885,NA,2
1886,NA,2
1887,NA,2
1888,NA,2
1889,NA,2
1890,NA,2
1891,NA,2
1892,NA,2
1893,NA,2
1894,NA,2
1895,NA,2
1896,NA,2
1897,NA,2
1898,NA,2
1899,NA,2
1900,NA,2
1901,NA,2
1902,NA,2
1903,NA,2
1904,NA,2
1905,NA,2
1906,NA,2
1907,NA,2
1908,NA,2
1909,NA,2
1910,NA,2
1911,NA,2
1912,NA,2
1913,NA,2
1914,NA,2
1915,NA,2
1916,NA,2
1917,NA,2
1918,NA,2
1919,NA,2
1920,NA,2
1921,NA,2
1922,NA,2
1923,NA,2
1924,NA,2
1925,NA,2
1926,NA,2
1927,NA,2
1928,NA,2
1929,NA,2
1930,NA,2
1931,NA,2
1932,NA,2
1933,NA,2
1934,NA,2
1935,NA,2
1936,NA,2
1937,NA,2
1938,NA,2
1939,NA,2
1940,NA,2
1941,NA,2
1942,NA,2
1943,NA,2
1944,NA,2
1945,NA,2
1946,NA,2
1947,NA,2
1948,NA,2
1949,NA,2
1950,NA,2
1951,NA,2
1952,NA,2
1953,NA,2
1954,NA,2
1955,NA,2
1956,NA,2
1957,NA,2
1958,NA,2
1959,NA,2
1960,NA,2
1961,NA,2
1962,NA,2
1963,NA,2
1964,NA,2
1965,NA,2
1966,NA,2
1967,NA,2
1968,NA,2
1969,NA,2
1970,NA,2
1971,NA,2
1972,NA,2
1973,NA,2
1974,NA,2
1975,NA,2
1976,NA,2
1977,NA,2
1978,NA,2
1979,NA,2
1980,NA,2
1981,NA,2
1982,NA,2
1983,NA,2
1984,NA,2
1985,NA,2
1986,NA,2
1987,NA,2
1988,NA,2
1989,NA,2
1990,NA,2
1991,NA,2
1992,NA,2
1993,NA,2
1994,NA,2
1995,NA,2
1996,NA,2
1997,NA,2
1998,NA,2
1999,NA,2
2000,NA,2
2001,NA,2
2002,NA,2
2003,NA,2
2004,NA,2
2005,NA,2
2006,NA,2
2007,NA,2
2008,NA,2
2009,NA,2
2010,NA,2
2011,NA,2
2012,NA,2
2013,NA,2
2014,NA,2
2015,NA,2
2016,NA,2
2017,NA,2
2018,NA,2
2019,NA,2
2020,11.08317107,2
2021,11.214933497166989,2
2022,11.326889921513905,2
2023,11.42012921800868,2
2024,11.495740262928525,2
2025,11.554811938138572,2
2026,11.598074211541316,2
2027,11.626974869651326,2
2028,11.642602787348832,2
2029,11.646046841842368,2
2030,11.638395912668772,2
2031,11.533363322761703,2
2032,11.419413501276257,2
2033,11.297635329146248,2
2034,11.169117680786249,2
2035,11.034949437130072,2
2036,10.999643004500788,2
2037,10.960863728664096,2
2038,10.919700489156815,2
2039,10.877242161790504,2
2040,10.834577624705007,2
2041,10.777628607540242,2
2042,10.722651134142035,2
2043,10.670734085444204,2
2044,10.62296633586132,2
2045,10.580436763067569,2
2046,10.501860971706234,2
2047,10.43070111201675,2
2048,10.368046063535964,2
2049,10.314984702075431,2
2050,10.272605905084754,2
2051,10.324770127758898,2
2052,10.372103126925513,2
2053,10.4147724071696,2
2054,10.452945473724702,2
2055,10.486789831591546,2
2056,10.40953329351948,2
2057,10.328283056585958,2
2058,10.24320662567529,2
2059,10.154471506021029,2
2060,10.06224520227464,2
2061,9.963775809180968,2
2062,9.862150242113024,2
2063,9.757536006071524,2
2064,9.650100605998976,2
2065,9.540011546605056,2
2066,9.425983752511636,2
2067,9.309637309331118,2
2068,9.191139722064213,2
2069,9.070658495478812,2
2070,8.948361134575633,2
2071,8.825083377765777,2
2072,8.700324496581365,2
2073,8.574251996023124,2
2074,8.447033381208184,2
2075,8.318836156904437,2
2076,8.190587422739329,2
2077,8.061695088795803,2
2078,7.93232666077308,2
2079,7.802649642973373,2
2080,7.67283154063024,2
2081,7.543751213969491,2
2082,7.414864812533915,2
2083,7.286339841440649,2
2084,7.158343805690409,2
2085,7.031044210167503,2
2086,6.9202811814516725,2
2087,6.810549602848193,2
2088,6.702016979474193,2
2089,6.594850816097571,2
2090,6.489218617951861,2
2091,6.355466193182645,2
2092,6.223582743412953,2
2093,6.093735773759915,2
2094,5.966092788933215,2
2095,5.840821293991782,2
2096,5.745897442773005,2
2097,5.653680091208093,2
2098,5.564336744530602,2
2099,5.478034907624828,2
2100,5.394942085546947,2
2101,5.275899508644147,2
2102,5.159879338570907,2
2103,5.046822082560332,2
2104,4.936668247959184,2
2105,4.829358341910502,2
2106,4.740208115136769,2
2107,4.653782831550823,2
2108,4.570022998208388,2
2109,4.488869122659957,2
2110,4.410261712077669,2
2111,4.410332314149312,2
2112,4.412830395793319,2
2113,4.417696464181826,2
2114,4.424871026486978,2
2115,4.43429458999733,2
2116,4.465146848391709,2
2117,4.4981291225975015,2
2118,4.533181919699541,2
2119,4.570245747161009,2
2120,4.609261112241357,2
2121,4.538911275809469,2
2122,4.4703939914862625,2
2123,4.403649766589397,2
2124,4.3386191082037024,2
2125,4.275242523646839,2
2126,4.241532101041845,2
2127,4.209356766842796,2
2128,4.178657028192727,2
2129,4.149373392525717,2
2130,4.121446367101217,2
2131,4.12975985627421,2
2132,4.139310970150414,2
2133,4.15004021601838,2
2134,4.161888101137564,2
2135,4.174795132680107,2
2136,4.19493166228509,2
2137,4.216008352890541,2
2138,4.237965711814128,2
2139,4.260744246198882,2
2140,4.284284463449777,2
2141,4.211419492700229,2
2142,4.139197219277521,2
2143,4.067558150499312,2
2144,3.9964427936250546,2
2145,3.9257916557686814,2
2146,3.9107105239292017,2
2147,3.895974625713824,2
2148,3.8815244684402073,2
2149,3.867300559280495,2
2150,3.853243405555373,2
2151,3.8682466563609847,2
2152,3.8839459967103447,2
2153,3.900321143457044,2
2154,3.917351813370387,2
2155,3.9350177233360895,2
2156,3.939289175864716,2
2157,3.94415530207162,2
2158,3.9495958188279703,2
2159,3.955590442917622,2
2160,3.962118891211739,2
2161,3.9197229587996394,2
2162,3.877820284247028,2
2163,3.8363905843959665,2
2164,3.7954135760448664,2
2165,3.754868976021236,2
2166,3.6970764411347496,2
2167,3.639675748245307,2
2168,3.5826466141804194,2
2169,3.525968755811252,2
2170,3.4696218899216604,2
2171,3.463490867890123,2
2172,3.457650272007735,2
2173,3.452079819131112,2
2174,3.4467592260732105,2
2175,3.4416682096469917,2
2176,3.535745676261127,2
2177,3.630012153205621,2
2178,3.724447357278882,2
2179,3.819031005322973,2
2180,3.913742814179954,2
2181,3.913098625852584,2
2182,3.912542031978575,2
2183,3.9120527494145434,2
2184,3.911610494973447,2
2185,3.911194985468245,2
2186,3.870016900932033,2
2187,3.82882499500129,2
2188,3.787598984532627,2
2189,3.746318586309904,2
2190,3.7049635172042863,2
2191,3.6781509480005146,2
2192,3.651223141554318,2
2193,3.6241598147077583,2
2194,3.5969406842883465,2
2195,3.5695454671381452,2
2196,3.580767361963447,2
2197,3.591772603712981,2
2198,3.6025409092288103,2
2199,3.6130519953238953,2
2200,3.623285578818096,2
2201,3.639375992495869,2
2202,3.654755607760357,2
2203,3.6694346200402665,2
2204,3.683423224698444,2
2205,3.696731617148667,2
2206,3.6666989796742535,2
2207,3.636006520768512,2
2208,3.604664435830673,2
2209,3.5726829202672357,2
2210,3.5400721694774275,2
2211,3.5631091804927526,2
2212,3.585537347065609,2
2213,3.607366864587949,2
2214,3.628607928466277,2
2215,3.6492707340852646,2
2216,3.6843460551287257,2
2217,3.7188635087331288,2
2218,3.7528332902467727,2
2219,3.786265595076158,2
2220,3.819170618635064,2
2221,3.823971569327043,2
2222,3.828265629539723,2
2223,3.8320629946505007,2
2224,3.835373860051328,2
2225,3.838208421148708,2
2226,3.8553425430972976,2
2227,3.872020751526342,2
2228,3.888253241842345,2
2229,3.904050209422704,2
2230,3.919421849673925,2
2231,3.9003578894778568,2
2232,3.880888992736552,2
2233,3.861025354841959,2
2234,3.8407771712078618,2
2235,3.82015463721893,2
2236,3.785624540543542,2
2237,3.750740484319051,2
2238,3.715512663922858,2
2239,3.6799512747469127,2
2240,3.644066512190443,2
2241,3.641245093570819,2
2242,3.638120692369125,2
2243,3.634703503962759,2
2244,3.631003723772778,2
2245,3.627031547169303,2
2246,3.629030434512153,2
2247,3.6307773162399646,2
2248,3.632282387751964,2
2249,3.633555844447379,2
2250,3.634607881710887,2
2251,3.622029600858797,2
2252,3.609250291373253,2
2253,3.5962801486462035,2
2254,3.5831293680768774,2
2255,3.5698081450572254,2
2256,3.5524204260644816,2
2257,3.534882655405315,2
2258,3.517205028493503,2
2259,3.4993977406918932,2
2260,3.481470987436094,2
2261,3.466986266993968,2
2262,3.452402471867002,2
2263,3.437729797461699,2
2264,3.422978439155458,2
2265,3.408158592354783,2
2266,3.385375332092534,2
2267,3.362543974134305,2
2268,3.339674713850219,2
2269,3.3167777466686066,2
2270,3.293863267952314,2
2271,3.2757820837924396,2
2272,3.2577037789036143,2
2273,3.2396385486777928,2
2274,3.2215965885142004,2
2275,3.2035880938047874,2
2276,3.168482769581247,2
2277,3.1334313016103414,2
2278,3.098443885284022,2
2279,3.0635307159796867,2
2280,3.028701989118391,2
2281,3.0104854653698356,2
2282,2.9923737748336694,2
2283,2.974377112923673,2
2284,2.956505675017245,2
2285,2.9387696565281636,2
2286,2.929491516763505,2
2287,2.920369187207372,2
2288,2.9114128632371625,2
2289,2.902632740252107,2
2290,2.89403901366598,2
2291,2.8783807879122976,2
2292,2.862929349348724,2
2293,2.8476948933381068,2
2294,2.8326876153087768,2
2295,2.8179177106235804,2
2296,2.8010274154839085,2
2297,2.7843948844795485,2
2298,2.768030313017005,2
2299,2.75194389650297,2
2300,2.738380792405334,2
